N,M,Leakage,NO,NV,CO,CV,SMAPE,Eq_SMAPE,eq_t,domEig,domEigLV,C_sur,trc_max,gR,gR_LV,dtmin_err
3,3,0.01,0.9625503747133559,0.03604355101819249,0.8910381768032316,0.09402742776928633,-0.005968214330479127,1.0761722727471112e-5,1516,-0.0021960742394463964 + 0.0im,-0.002153128368540852 + 0.0im,1.0,6.293873474110391e-6,0.6211714682409232,0.011161646896891943,Terminated
3,3,0.01,0.9639915365301608,0.034709505571669366,0.6400496554109871,0.22197061266800422,-0.006128530344977289,2.904119655865353e-5,1467,-0.002158844370686517 + 0.0im,-0.002131171564386359 + 0.0im,1.0,6.627457711123917e-6,0.6192554542223268,0.008036811220999439,Terminated
3,3,0.01,0.9646666966546251,0.03406050866606743,0.6606925901563099,0.21707858559400284,-0.004926969299011277,1.872302093661666e-5,1834,-0.0019475932474472982 + 0.0im,-0.0019237962646008937 + 0.0im,1.0,7.550848867699042e-6,0.618541040790121,0.009109953840510308,Terminated
3,3,0.01,0.964649560054829,0.034087920175157306,0.6736192691574832,0.21309042325209715,-0.0054410386964171475,2.6563784139017386e-5,1629,-0.0019592319255338367 + 0.0im,-0.0019364976807645256 + 0.0im,1.0,6.280056624691421e-6,0.6274470428568598,0.013956513366604034,Terminated
3,3,0.01,0.9593522728178163,0.0389949980282284,0.7294025472396648,0.187953460194878,-0.005746464323572898,2.296835035931921e-5,1559,-0.0025135918401675496 + 0.0im,-0.002471906779677374 + 0.0im,1.0,8.566673202444837e-6,0.6232806592514285,0.013479297003485958,Terminated
3,3,0.01,0.9642935514326518,0.03441784534598265,0.7406305689418674,0.1875223563152975,-0.004700187260680965,1.5178763581279074e-5,1904,-0.0019665670219737408 + 0.0im,-0.001963703583830148 + 0.0im,1.0,8.474741821487739e-6,0.6242734554903439,0.012563278863387236,Terminated
3,3,0.01,0.9660109067953326,0.032821624361293614,0.7581686865939667,0.17385449688843693,-0.004855686142325705,2.374647608448863e-5,1842,-0.0017967830561321854 + 0.0im,-0.001780209796447701 + 0.0im,1.0,9.016551310419173e-6,0.6222754373402855,0.010494738517979673,Terminated
3,3,0.01,0.9615774907431459,0.036942740817515585,0.7499137310552382,0.18224706341527427,-0.005124822079966734,3.006141191950434e-5,1720,-0.0024168784697602497 + 0.0im,-0.0023827248098495686 + 0.0im,1.0,7.1502928204874215e-6,0.63131889402736,0.01660022721501542,Terminated
3,3,0.01,0.9640806745872681,0.0346247761379771,0.7483021531607242,0.18103950716131426,-0.004700300217534698,5.714391471954778e-5,1851,-0.0022608132273186842 + 0.0im,-0.0022148554202175703 + 0.0im,1.0,7.980701296343285e-6,0.6277385091009738,0.01823947296700241,Terminated
3,3,0.01,0.9663244442847417,0.03253780970687066,0.8549762770960662,0.12110157493015627,-0.005396280623953424,8.4501288803001e-6,1684,-0.0019830643488824963 + 0.0im,-0.0019498858528405878 + 0.0im,1.0,7.843464426430228e-6,0.6184277207326098,0.009218538739595257,Terminated
3,3,0.01,0.9671110986884374,0.03180550346818885,0.8642721845623795,0.115531633606321,-0.00550467115645893,1.621460292160216e-5,1647,-0.0021064395785207004 + 0.0im,-0.0020656400043918754 + 0.0im,1.0,7.4924218201739835e-6,0.6179705255579133,0.006821463685844248,Terminated
3,3,0.01,0.9603926243426675,0.03802447262276165,0.8569710200368141,0.11983688228211575,-0.010161670356975488,1.6153211866458194e-6,903,-0.0023309090621122185 + 0.0im,-0.00231125529370829 + 0.0im,1.0,7.302109235841134e-6,0.6130082034298927,-0.0009246213740803108,Terminated
3,3,0.01,0.8705337704561847,0.11270036072903936,0.8410038281092839,0.12166955460619536,-0.019387788843966296,6.070787527152439e-6,472,-0.009294020633371359 + 0.0im,-0.009091737478519523 + 0.0im,1.0,6.8989392953771195e-6,0.6143205711127473,-0.004842044837076112,Terminated
3,3,0.01,0.8777008412470322,0.10731373294177585,0.6779325331603536,0.1899314012379282,-0.01714314410749419,1.4943981218257605e-5,530,-0.008130396051231358 + 0.0im,-0.007992428978833534 + 0.0im,1.0,6.8314626490951075e-6,0.61851936575128,0.0005560108511676281,Terminated
3,3,0.01,0.87683408364762,0.10793958227142508,0.7009809237268132,0.17983270610565066,-0.015370742336650789,1.1740711398220584e-5,591,-0.007676871520111552 + 0.0im,-0.007554698676561842 + 0.0im,1.0,8.534278315514542e-6,0.6186905941403411,-0.00045020117346390633,Terminated
3,3,0.01,0.8723856010897468,0.11132287212058817,0.6921702046107759,0.1867076737540356,-0.018635491398461244,8.091105098656795e-6,491,-0.009253973565986577 + 0.0im,-0.009057043613576926 + 0.0im,1.0,6.6209566458130804e-6,0.6150422357609693,-0.004791834463562779,Terminated
3,3,0.01,0.8735426570024503,0.11044633240160484,0.7179817141463672,0.17422562132252795,-0.01572561707781304,1.9239512122894906e-5,575,-0.008914765670310488 + 0.0im,-0.008720894567433619 + 0.0im,1.0,6.446024047290363e-6,0.6216063015804919,0.004222041521223397,Terminated
3,3,0.01,0.8707048118412613,0.11254250861905615,0.7654210053334974,0.15789814106852,-0.01784674230149801,7.670718754702199e-6,512,-0.008722520898178224 + 0.0im,-0.008578438201832012 + 0.0im,1.0,6.648463765447472e-6,0.615115415837358,-0.003971635798184364,Terminated
3,3,0.01,0.8729099228327533,0.11091857358226323,0.7588261696272379,0.16020472440333522,-0.018589161096279342,1.0221658469960736e-5,491,-0.008447616811024307 + 0.0im,-0.008307331281152354 + 0.0im,1.0,6.635874624180439e-6,0.6159951948569181,-0.003187982726668595,Terminated
3,3,0.01,0.8827195885302408,0.10351761825255279,0.8046861433268744,0.14292317323733458,-0.020280174574617806,4.189891394726238e-6,452,-0.008230759937652325 + 0.0im,-0.008083676905744285 + 0.0im,1.0,6.890536321265585e-6,0.6136178288881222,-0.0061760293238849505,Terminated
3,3,0.01,0.8691432800216803,0.11370903630813417,0.7898208879997415,0.143567213470275,-0.017519626112982693,9.742695236779001e-6,522,-0.008713311064833642 + 0.0im,-0.008537804177423522 + 0.0im,1.0,8.521164521996097e-6,0.615429658050492,-0.003177142246775256,Terminated
3,3,0.01,0.8699977367441456,0.11309710719985551,0.7745380617438777,0.14788318239873702,-0.01780885859923307,1.0572628731172202e-5,513,-0.009032003217957106 + 0.0im,-0.008876751458321938 + 0.0im,1.0,6.783546949420468e-6,0.6158653740803216,-0.002060059138754677,Terminated
3,3,0.01,0.8654092932671967,0.11646296394754677,0.7964332957642003,0.13641282873073468,-0.023326190883649824,3.396833252773325e-6,394,-0.009453388094635876 + 0.0im,-0.009217476845330589 + 0.0im,1.0,8.367510618485687e-6,0.6129723832884144,-0.007971021281883785,Terminated
3,3,0.01,0.8709999165163841,0.1122252923927279,0.82170787880816,0.12318066545825448,-0.020673677763969108,5.98804909652895e-6,443,-0.008153125302290131 + 0.0im,-0.00803649771720622 + 0.0im,1.0,7.897230950314715e-6,0.6139437331760417,-0.00577753980596336,Terminated
3,3,0.01,0.7471913486805588,0.18881798793983753,0.8525979824689274,0.09252943981035262,-0.039550173687078964,3.6146774348526763e-6,232,-0.019224327090530163 + 0.0im,-0.0186884570635345 + 0.0im,1.0,7.774750064444163e-6,0.6133306614238125,-0.01619098975786966,Terminated
3,3,0.01,0.7472999869938812,0.18874571249413383,0.7179555244547479,0.14813911056320817,-0.03627418528631254,7.918522791735612e-6,252,-0.01883376944677271 + 0.0im,-0.018304936314327436 + 0.0im,1.0,7.057029134676574e-6,0.6154114178602261,-0.01643312243643572,Terminated
3,3,0.01,0.7455656554255059,0.1896899087970488,0.7177276710975193,0.14943417077947552,-0.038973867902933584,5.709487134632741e-6,235,-0.020309935837577158 + 0.0im,-0.019690971173355394 + 0.0im,1.0,6.97513708586526e-6,0.6143290318645694,-0.017436654787382724,Terminated
3,3,0.01,0.7593583747402711,0.18272755115035144,0.7068046279257243,0.15302303280945606,-0.03199806189237966,1.2650087046136252e-5,285,-0.018636596056797527 + 0.0im,-0.01811478744488349 + 0.0im,1.0,6.64908372921335e-6,0.617362811740495,-0.01274518808750188,Terminated
3,3,0.01,0.7566252728397196,0.1841131558200301,0.7050092281488045,0.15188442674818498,-0.03288441156678185,1.0677613068712627e-5,278,-0.01856491331797046 + 0.0im,-0.018037227090872982 + 0.0im,1.0,8.609137855806116e-6,0.6163002058642293,-0.013649113804112505,Terminated
3,3,0.01,0.7579839067509124,0.18342340413852246,0.7268090985371845,0.1409720210682755,-0.033472778339918755,1.003938110525835e-5,273,-0.018359927855103955 + 0.0im,-0.017827094464894173 + 0.0im,1.0,6.390381383330997e-6,0.616075570176978,-0.0142191162486576,Terminated
3,3,0.01,0.7533876919092157,0.18576305077637695,0.8155322616102016,0.12801259398775677,-0.032906850504948834,9.240710462065931e-6,278,-0.019736895190785624 + 0.0im,-0.019098333395298997 + 0.0im,1.0,6.3280625320492216e-6,0.6155663349084249,-0.013373820350172655,Terminated
3,3,0.01,0.7308735015620949,0.19669171153870574,0.8042270211290687,0.11675475527463655,-0.03879305745452906,8.517262355341441e-6,236,-0.021443390715583207 + 0.0im,-0.020733665527705548 + 0.0im,1.0,6.756124668068644e-6,0.6147779596469944,-0.017689519154538785,Terminated
3,3,0.01,0.7555633322274362,0.18465813508768947,0.816572245939128,0.11635561213798788,-0.045902666461547205,1.7208986142320101e-6,200,-0.01910470032572345 + 0.0im,-0.01852980143360712 + 0.0im,1.0,7.542135392228052e-6,0.6132297097753856,-0.019039333399327712,Terminated
3,3,0.01,0.7522510649637397,0.18633670160522853,0.7706118959285895,0.1288643674330069,-0.03728797394441433,5.822301089219183e-6,246,-0.01916386052361803 + 0.0im,-0.018536166018750744 + 0.0im,1.0,8.392214403423999e-6,0.6136417009998465,-0.017012715450941115,Terminated
3,3,0.01,0.7441645189683948,0.1903468478154826,0.8917379465974172,0.07428614171394649,-0.09275608170369717,6.589473237729942e-8,99,-0.020200124996637658 + 0.0im,-0.019614846506155116 + 0.0im,1.0,6.55031601721213e-6,0.6125340327039744,-0.01967168178997973,Terminated
3,3,0.01,0.7428419758126816,0.19100745375536837,0.8986072755312335,0.07440065025207002,-0.04476096295708808,3.31394441003037e-6,205,-0.02067411651151688 + 0.0im,-0.02009237952562252 + 0.0im,1.0,7.667625751948616e-6,0.6128690493471942,-0.018949974318410612,Terminated
