N,M,Leakage,NO,NV,CO,CV,SMAPE,Eq_SMAPE,eq_t,domEig,domEigLV,C_sur,trc_max,gR,gR_LV,dtmin_err
23,23,0.01,0.9933809993081368,0.006574069063801022,0.8124113526719008,0.15169911229087066,1.768756895692209e-5,0.0002444668743056461,67636,-1.2275758572892147e-5 + 0.0im,-1.2243500922485797e-5 + 0.0im,0.9999999999999996,1.430168520542464e-5,0.7561624245162839,0.03391710689711109,Terminated
23,23,0.01,0.9932645633782425,0.006689123186826828,0.25097525238901097,0.18786036734954384,0.008496107029353323,0.007109888412365804,65297,-1.811770617100443e-5 + 0.0im,-1.7906304202837966e-5 + 0.0im,0.9999999999999996,0.00011983308942524973,1.8344977961538458,0.043386435706286114,Terminated
23,23,0.01,0.9933076275038807,0.006646582494004091,0.30323133010184794,0.21109822527762626,0.009843345632158747,0.006491195776489529,53767,-1.2939581541484148e-5 + 0.0im,-1.2804238527056178e-5 + 0.0im,0.9999999999999996,9.923139301617441e-5,1.6186041808908713,0.0333920688417883,Terminated
23,23,0.01,0.9933193849710343,0.0066347290327358486,0.37291983676715074,0.23354753490210778,0.0010079650802244642,0.0003987598692954719,60652,-1.545718439888127e-5 + 0.0im,-1.5295994549513222e-5 + 0.0im,0.9999999999999996,8.033852046954129e-5,1.3060113816665915,0.04285442277106711,Terminated
23,23,0.01,0.99321151923947,0.006741421450600576,0.46558777896683695,0.24825257424976196,0.003871096732992017,0.001942996425787499,63863,-1.5531194950662202e-5 + 0.0im,-1.5324069325518536e-5 + 0.0im,0.9999999999999996,2.983007866536913e-5,1.1474091714258998,0.042673868782613616,Terminated
23,23,0.01,0.9934239288465644,0.006531685692880475,0.5381775649300101,0.24809699289283987,0.0034950429806791137,0.002749006346972021,68881,-1.2637342182697724e-5 + 0.0im,-1.252152418938004e-5 + 0.0im,0.9999999999999996,4.4423406136731496e-5,0.985619644322154,0.04528832882463624,Terminated
23,23,0.01,0.9933391160972764,0.006615486828773154,0.6330268032025748,0.231622723543876,0.00030777018232625367,-0.00046372783323778285,78948,-1.539073179371094e-5 + 0.0im,-1.5277823714085892e-5 + 0.0im,0.9999999999999996,4.207087995436291e-5,0.9142195649030854,0.051059086670747045,Terminated
23,23,0.01,0.9931796201394959,0.006773001867005541,0.7035182590416394,0.2079917502984975,0.001828138193518253,0.0014283937602506238,66752,-1.517836802018484e-5 + 0.0im,-1.504776165672946e-5 + 0.0im,0.9999999999999996,2.7295035749778916e-5,0.8302242230953897,0.03093014702417651,Terminated
23,23,0.01,0.9933455207372602,0.0066092927044484225,0.7580565635263189,0.18293175550414165,0.0007711267354317563,0.0005912580620858792,71174,-1.2317293073063746e-5 + 0.0im,-1.2124852716453869e-5 + 0.0im,0.9999999999999996,1.4729767637734701e-5,0.7897395599503471,0.045362397769029755,Terminated
23,23,0.01,0.993452393661758,0.006503690556881914,0.8176585599414056,0.14840173583278404,0.000749713340429386,0.00048017462309684,61035,-1.5565154005184223e-5 + 0.0im,-1.5393030873507753e-5 + 0.0im,0.9999999999999996,1.6042090749693276e-5,0.7366102265459596,0.03234578433337296,Terminated
23,23,0.01,0.9932335085686513,0.006719774636182013,0.8570089764344598,0.12198988596921516,-4.8827512802260784e-5,2.7082333946464227e-5,67066,-1.6433796974878545e-5 + 0.0im,-1.6369835382641302e-5 + 0.0im,0.9999999999999996,1.80604444735984e-5,0.7412686236701261,0.03874329313274371,Terminated
23,23,0.01,0.9934811901568773,0.006475338130987535,0.8976515910018255,0.09165098614174208,0.0002727742052471552,0.00041016236363835976,77594,-1.3653066732692456e-5 + 0.0im,-1.3521021457923017e-5 + 0.0im,0.9999999999999996,1.203975344498478e-5,0.7479769386042457,0.0493825663171345,Terminated
23,23,0.01,0.9722815014846454,0.02694257226761511,0.7934395508447297,0.1633046680354688,-0.00011890555455599826,0.00012110610196740447,22702,-7.620801153943125e-5 + 0.0im,-7.570002711035695e-5 + 0.0im,0.9999999999999996,2.208379037455109e-5,0.6666694060542497,0.02391204529879762,Terminated
23,23,0.01,0.9727695897620674,0.026483448885197776,0.24420435988063707,0.1844144964762901,0.0030677700559603007,0.0014549532235606268,27379,-5.932159979333877e-5 + 0.0im,-5.893233508553326e-5 + 0.0im,0.9999999999999996,0.00011016648750013178,1.1516368680577933,0.029319024549590407,Terminated
23,23,0.01,0.9723669066874229,0.026862414298735236,0.29610242458094804,0.20819116853783068,0.0013243819229013542,0.00029626597103018094,23957,-6.919908078043609e-5 + 0.0im,-6.87201853404096e-5 + 0.0im,0.9999999999999996,2.4439299147057685e-5,0.9675723193527427,0.031254730340485586,Terminated
23,23,0.01,0.9731983419594433,0.02607536909775316,0.36279834559371144,0.23065210903059294,0.0013328143042775097,0.0003433720314030248,23874,-6.92842514760955e-5 + 0.0im,-6.874544045548501e-5 + 0.0im,0.9999999999999996,2.9320421194456473e-5,0.8696544074234983,0.019249651716206732,Terminated
23,23,0.01,0.9734884650857845,0.025801867749776997,0.45531455672453697,0.2472798002438331,0.0007756920001617456,0.000391632416225085,24092,-6.753501174390779e-5 + 0.0im,-6.730269541185027e-5 + 0.0im,0.9999999999999996,4.8061054832800646e-5,0.8110563952501293,0.026740378536939568,Terminated
23,23,0.01,0.9731138103254292,0.02615685569968834,0.5260851138483399,0.24859764173929974,0.0004906753123701286,0.00034548308688930494,25099,-6.204754620484417e-5 + 0.0im,-6.175316881603884e-5 + 0.0im,0.9999999999999996,3.74477513537889e-5,0.7642567723865453,0.028330621549056634,Terminated
23,23,0.01,0.9732601501610048,0.02601826340735914,0.613429263565676,0.23651200417545062,0.0003757736255152423,0.0002965681135487713,25085,-7.751241903388489e-5 + 0.0im,-7.7255437533407e-5 + 0.0im,0.9999999999999996,6.208080289196807e-5,0.7590867998560383,0.03666716604120685,Terminated
23,23,0.01,0.972810861234888,0.026442969391949508,0.6951220332858028,0.21146175803532197,-0.00010612430766981212,9.068327452120867e-5,24480,-7.999187093039565e-5 + 0.0im,-7.931293577585886e-5 + 0.0im,0.9999999999999996,1.0795219138845105e-5,0.6822210538577007,0.022407306132533014,Terminated
