N,M,Leakage,NO,NV,CO,CV,SMAPE,Eq_SMAPE,eq_t,domEig,domEigLV,C_sur,trc_max,gR,gR_LV,dtmin_err
17,17,0.01,0.9918841667813053,0.008048443399121674,0.77348424886377,0.17413644142380064,-0.00015220945222277837,-0.000176854388017032,49038,-2.2438945950824867e-5 + 0.0im,-2.25090524189716e-5 + 0.0im,1.0,1.2060440825483397e-5,0.7629104755299795,0.02508508793811609,Terminated
17,17,0.01,0.9920343340922201,0.007900655157639729,0.27290778746844263,0.19831289208881958,0.005573827510946937,0.0025428618231820408,55384,-1.4713067950723595e-5 + 0.0im,-1.4541271637436398e-5 + 0.0im,1.0,4.0554455796101666e-5,1.5286615208542995,0.03033814655672187,Terminated
17,17,0.01,0.9918099099095833,0.008121095630194797,0.3293709755202393,0.22070829775519668,0.003513012223165903,0.0017792103741075796,53570,-2.566034038002372e-5 + 0.0im,-2.54157801703864e-5 + 0.0im,1.0,3.552034428501303e-5,1.241659943988766,0.03160834716001237,Terminated
17,17,0.01,0.9920103301889176,0.007924414720246816,0.3843893826438224,0.23611997690446565,0.003053600388579522,0.002172566658805503,51453,-1.9693910813609686e-5 + 0.0im,-1.9699128354940506e-5 + 0.0im,1.0,2.9488506324463523e-5,1.20107016940832,0.03573595452877104,Terminated
17,17,0.01,0.991759214759377,0.008171186471383898,0.44940392512393423,0.24696019737771202,0.0021387170499360493,0.0005239847367929356,39428,-1.917403383016162e-5 + 0.0im,-1.8999715017858404e-5 + 0.0im,1.0,1.4313215382459485e-5,0.9911167793189123,0.023186575114290085,Terminated
17,17,0.01,0.9920273831421628,0.007907427596382499,0.5260752988835031,0.24887301155014077,0.0005000042955454888,5.190145375350101e-5,42997,-1.6824698370977076e-5 + 0.0im,-1.658897922854479e-5 + 0.0im,1.0,7.659776925431296e-6,0.9203547596604646,0.02003969038040828,Terminated
17,17,0.01,0.9918450672849783,0.00808676979099406,0.6090933336635015,0.23728230730583144,0.0012027202715581343,0.00029015097742581865,34072,-1.9352909407956167e-5 + 0.0im,-1.9272119023694466e-5 + 0.0im,1.0,6.1332300586457936e-6,0.8335642678902713,0.021971948536729024,Terminated
17,17,0.01,0.9921493040450735,0.007787061979914169,0.6631550150660733,0.22211042779106904,0.00027795068198500895,0.00023973263657116713,38884,-9.767652291910229e-6 + 0.0im,-9.770528200637696e-6 + 0.0im,1.0,1.052280525248033e-5,0.7841817757192815,0.020659712197372348,Terminated
17,17,0.01,0.9916207367211233,0.008307298094510878,0.7422535401289764,0.19089512345186094,0.00034544997213075134,0.0003639878800098436,36067,-2.6205433562064564e-5 + 0.0im,-2.5642591431180254e-5 + 0.0im,1.0,1.3807092887542667e-5,0.7199013070973111,0.012963789950366376,Terminated
17,17,0.01,0.9916044598231876,0.008323582660743607,0.787963689055528,0.1665348567420923,0.0002478640778779289,0.00025212709783266346,38047,-2.1697891319465757e-5 + 0.0im,-2.1440323919740624e-5 + 0.0im,1.0,8.904218044555291e-6,0.727072159278252,0.01904989460312784,Terminated
17,17,0.01,0.9921718467553333,0.007765133964856243,0.8284571281981364,0.14079000812888723,-9.730594085858796e-5,0.0001531316214022028,33639,-2.379735531110654e-5 + 0.0im,-2.3699346864115814e-5 + 0.0im,1.0,1.053020089019026e-5,0.6923009354329208,0.018484699104859472,Terminated
17,17,0.01,0.9922181218589543,0.0077201782103044165,0.8600407495078273,0.1200596938235919,0.00021848533649181884,0.00015993585499086553,30606,-2.0934760208613643e-5 + 0.0im,-2.0570614115687232e-5 + 0.0im,1.0,6.836390519054939e-6,0.7138804944451789,0.017916784826457453,Terminated
17,17,0.01,0.9656211879605346,0.033187554227604034,0.771093785572049,0.17595724209714467,-0.0005333008765331737,6.273041356306348e-5,10968,-0.00020818148460104388 + 0.0im,-0.00020635721632155908 + 0.0im,1.0,5.592239964013289e-6,0.6554599367439086,0.010247840322689664,Terminated
17,17,0.01,0.965460635704947,0.0333364733622339,0.26409036852829876,0.19418363901619226,0.0012337215837102868,0.00017370175406238096,13993,-0.00016825116769696055 + 0.0im,-0.0001669606532944342 + 0.0im,1.0,1.2269006549732984e-5,0.9076170756228917,0.014940410003144203,Terminated
17,17,0.01,0.9658385212831683,0.03298543004909441,0.31006916104093996,0.2138169904085622,0.0006139792325038681,0.00013205613379142084,12453,-0.00018089961226497615 + 0.0im,-0.00017908734040548099 + 0.0im,1.0,7.2473036841973e-6,0.8042014545972624,0.014041894634173283,Terminated
17,17,0.01,0.9662931273455065,0.03256171531441832,0.3691046295761738,0.23265148334733532,0.00015089714318024047,6.514162983997143e-5,10964,-0.00019133126211265573 + 0.0im,-0.00018887628862567974 + 0.0im,1.0,1.082734745279713e-5,0.7553598784388059,0.009945535241395655,Terminated
17,17,0.01,0.9666507681880336,0.03222646101791983,0.4539919097687075,0.2475002053676459,-0.0002446527408758311,6.434551151559469e-5,11750,-0.00017286701865435605 + 0.0im,-0.0001704677948522558 + 0.0im,1.0,9.421424516965024e-6,0.7106458597432223,0.013942391339302635,Terminated
17,17,0.01,0.966147098180405,0.03269503718439737,0.5098494122443598,0.2489763181604519,-0.000147314648030545,9.677672018140569e-5,13835,-0.0001734707809829995 + 0.0im,-0.00017169619423884866 + 0.0im,1.0,6.776966206107124e-6,0.7140116940309441,0.008223748980639487,Terminated
17,17,0.01,0.9648786778926454,0.033878494877025836,0.5920360470528689,0.2410339468567327,-0.0005794917263606006,3.994321624135168e-5,9761,-0.0002006397029480493 + 0.0im,-0.00019945321887043465 + 0.0im,1.0,1.0931885565248876e-5,0.6663188471844576,0.010008245807310816,Terminated
17,17,0.01,0.9655291056018698,0.03327234142831949,0.6729239831394316,0.21947455946073582,-0.0007339798458387005,2.3167133845945825e-5,9953,-0.00019317604686158125 + 0.0im,-0.00019102045107523215 + 0.0im,1.0,6.091010397187811e-6,0.6482092715571731,0.012059023967409386,Terminated
17,17,0.01,0.966113964612813,0.03272510033853643,0.72227650342076,0.19940459692011464,-0.0005345799419646517,5.675111809598163e-5,12371,-0.00019161557278272738 + 0.0im,-0.00018900167076511614 + 0.0im,1.0,1.3191915280266035e-5,0.6470429876514818,0.017598014922283037,Terminated
17,17,0.01,0.9662520622980616,0.03260003927391803,0.7727048523458447,0.17445369324712542,-0.0008242697672606025,2.9803569760521738e-5,9574,-0.00019394610123769993 + 0.0im,-0.00019223252573701834 + 0.0im,1.0,6.395433004708627e-6,0.6361790148964821,0.010636414195115742,Terminated
17,17,0.01,0.9659985599211768,0.03283520016958488,0.8158276734538853,0.1497880603339509,-0.000693177577582796,4.465983076652532e-5,10195,-0.00021077967341854637 + 0.0im,-0.0002088972565998041 + 0.0im,1.0,8.919016260244916e-6,0.6430017556011213,0.01354517839062699,Terminated
17,17,0.01,0.9656771746847086,0.03312945579629474,0.8445975962035184,0.13061987062358266,-0.0006618367075103003,4.290976559982928e-5,11102,-0.00017485912812665062 + 0.0im,-0.00017268288443176284 + 0.0im,1.0,9.643742312154393e-6,0.6373213409476509,0.012140699369638748,Terminated
17,17,0.01,0.9135665532145176,0.07893554918130946,0.7521958737506275,0.18542077650687835,-0.001884265127536642,1.2270945303551681e-5,4687,-0.0006404532953926207 + 0.0im,-0.0006338055600532366 + 0.0im,1.0,8.445423927680425e-6,0.6223649334843433,0.007640892198382358,Terminated
17,17,0.01,0.9152274048440502,0.07756087560970157,0.2504135840431873,0.1876525037339426,-0.0007601673949723963,3.9449264930796954e-5,5087,-0.00062550060749718 + 0.0im,-0.0006186917595834921 + 0.0im,1.0,9.988510508935789e-6,0.7234577138066633,0.00844008781159474,Terminated
17,17,0.01,0.9113313428205596,0.08077710923952917,0.2940051996801139,0.20723845318271944,-0.0015160511388395235,1.8863193859027947e-5,3927,-0.000694921917066149 + 0.0im,-0.000686609131753011 + 0.0im,1.0,5.02089069754439e-6,0.6879664859427398,0.007185104018247778,Terminated
17,17,0.01,0.9131358518842791,0.07929553744746044,0.3595532702610523,0.23002347778979879,-0.0014718177610733183,1.3515712484617757e-5,4525,-0.000652705211814234 + 0.0im,-0.0006460736949359673 + 0.0im,1.0,7.247957141199818e-6,0.6728904643973489,0.008541783892294215,Terminated
17,17,0.01,0.912491937108665,0.07981608717699322,0.4327949678574483,0.24509806805891549,-0.0017693976334383521,1.57285131219778e-5,4277,-0.0006530030302518864 + 0.0im,-0.0006437234507831637 + 0.0im,1.0,5.610296350335442e-6,0.6505307815582518,0.009103245740764281,Terminated
17,17,0.01,0.9153738181267259,0.07743887933297663,0.5029903176772834,0.24956321983605917,-0.001831491993802472,1.8700326392571933e-5,4406,-0.0006265730656220806 + 0.0im,-0.0006192377194277792 + 0.0im,1.0,8.770322618503063e-6,0.6417313217847818,0.008341268650567812,Terminated
17,17,0.01,0.9136537899705032,0.07884507664505509,0.5651190990244521,0.24489011493346968,-0.0018451720840615207,1.6338376656464538e-5,4543,-0.0006658703502733072 + 0.0im,-0.0006597338591564123 + 0.0im,1.0,7.059435675719651e-6,0.633207613793833,0.00863227969133682,Terminated
17,17,0.01,0.9123584194419189,0.07992857681022834,0.6423328608719929,0.22828970175336336,-0.0020705202201498777,1.7018547452132162e-5,4068,-0.0006877460072226443 + 0.0im,-0.0006803593559791455 + 0.0im,1.0,6.654332382078983e-6,0.6298365336511751,0.005287716245825712,Terminated
17,17,0.01,0.9129376812538168,0.07945514475881149,0.6958103322965034,0.21064738478497294,-0.0022401196765636715,1.1706746198269322e-5,3963,-0.0007906184311899477 + 0.0im,-0.0007807374383441452 + 0.0im,1.0,4.223542697191149e-6,0.6209776127909562,0.0052024272628503595,Terminated
17,17,0.01,0.9138302130489043,0.07871420018962215,0.7597927876483549,0.18119371828760117,-0.002230064014109957,1.7323311349416514e-5,3928,-0.0006759648027608346 + 0.0im,-0.0006682386512848034 + 0.0im,1.0,6.382659427916824e-6,0.6240394900270401,0.007663139016216346,Terminated
17,17,0.01,0.9114719665082628,0.08066346512129306,0.7853778936715212,0.16820901082670697,-0.0021015996206825115,1.627520573707921e-5,4081,-0.0007207287880484117 + 0.0im,-0.0007116113863319752 + 0.0im,1.0,6.629079785205434e-6,0.6294037795191464,0.007024495735579312,Terminated
17,17,0.01,0.912491836365507,0.07981315889044917,0.8135536058850921,0.15124558083785675,-0.0023634265066203386,1.2898873722672863e-5,3768,-0.0007044553024252885 + 0.0im,-0.0006978185210629583 + 0.0im,1.0,3.804781700186368e-6,0.6199326452167968,0.005312223531357683,Terminated
17,17,0.01,0.8271691028145358,0.14288925974162972,0.7050817401904983,0.20724538423826433,-0.004655094473373501,7.585315750571405e-6,1948,-0.0018491584420673327 + 0.0im,-0.001825011197262954 + 0.0im,1.0,4.257434388362516e-6,0.615814144044971,0.002617325077504376,Terminated
17,17,0.01,0.825899899099603,0.14370005911577827,0.2330899942998627,0.17860043574872994,-0.003329963342408474,1.2566763681572266e-5,2321,-0.0016809340652102038 + 0.0im,-0.0016619078140093552 + 0.0im,1.0,9.52422610251403e-6,0.6558872023926807,0.0028513998587041795,Terminated
17,17,0.01,0.8297254242459255,0.14122323696731395,0.270440529837817,0.197157361821591,-0.0035412412811614137,1.4686784057634037e-5,2220,-0.0016566613819112132 + 0.0im,-0.0016401671940262583 + 0.0im,1.0,6.1086118404539445e-6,0.6513984249922481,0.0032556941757399902,Terminated
17,17,0.01,0.830581311278432,0.14065454113792542,0.3406835483372161,0.2244315394296445,-0.004261939554357068,1.0354947532480076e-5,1996,-0.0016879551367479956 + 0.0im,-0.0016674901266320137 + 0.0im,1.0,7.196456778942076e-6,0.6323592910436592,0.0030672373348504516,Terminated
17,17,0.01,0.8280491959735173,0.14230223957741356,0.3998328389329931,0.23940774979577334,-0.003776844273941836,9.278231094238175e-6,2263,-0.0016449743319115074 + 0.0im,-0.0016284031617699673 + 0.0im,1.0,6.327420858583517e-6,0.6330891776274238,0.00568049199455739,Terminated
17,17,0.01,0.8264742387898635,0.14335864329450723,0.47269351051413416,0.24838389629289953,-0.004574527872118479,9.535329240570792e-6,1917,-0.0017295442200279715 + 0.0im,-0.001710022151038618 + 0.0im,1.0,8.621844796442525e-6,0.6258305855702924,0.003174380622088504,Terminated
17,17,0.01,0.8277123963648578,0.14254256802835394,0.5312868779775397,0.24829795047033232,-0.004406849000249522,8.308832792125187e-6,2021,-0.0017355194777843323 + 0.0im,-0.001715668878090527 + 0.0im,1.0,5.2786275801629355e-6,0.6214906522066228,0.003281397964961359,Terminated
17,17,0.01,0.8253191027836302,0.14408612383493674,0.6126144474534106,0.23621460995314553,-0.004957939103582391,6.210514890631309e-6,1821,-0.0017905570799151766 + 0.0im,-0.0017726355839065317 + 0.0im,1.0,6.065570852792667e-6,0.6172846869411565,0.0019562866255732184,Terminated
17,17,0.01,0.8259468138657893,0.14368288136443766,0.6701014607760365,0.2195627471484565,-0.004105581700702198,9.01204198982606e-6,2171,-0.0017768550889546634 + 0.0im,-0.0017563686716966296 + 0.0im,1.0,7.291500878821015e-6,0.6215111965243793,0.003796486443815188,Terminated
17,17,0.01,0.8305421668362738,0.1406729365503801,0.716090417951114,0.20232598546991715,-0.004702986121846259,7.3973715450124795e-6,1922,-0.0017254315811320762 + 0.0im,-0.0017045454215017638 + 0.0im,1.0,4.2658593759452886e-6,0.617148103697146,0.0028722346931404894,Terminated
17,17,0.01,0.8269910762889439,0.14300470692364697,0.7410330079370437,0.19111116551653057,-0.004968943032000464,7.46589086849856e-6,1821,-0.0017233026888825859 + 0.0im,-0.0017043299936865264 + 0.0im,1.0,5.9995414193473076e-6,0.6171870699350832,0.0021877704431962418,Terminated
17,17,0.01,0.8301022610277181,0.14096099902620213,0.7712969817996412,0.17596280949579157,-0.004895950968750342,5.544235823707401e-6,1861,-0.0017274601410273926 + 0.0im,-0.0017069655277481147 + 0.0im,1.0,4.424802977142829e-6,0.6143916428950249,0.0018175939982498187,Terminated
17,17,0.01,0.7077702916812293,0.20671228227507307,0.6564778127110192,0.22315591882405095,-0.008140484312977574,5.291298370181211e-6,1118,-0.003747432383377774 + 0.0im,-0.003694245343269134 + 0.0im,1.0,7.421151507089761e-6,0.6158996720582541,0.001228037322190142,Terminated
17,17,0.01,0.704952780853471,0.2078664812062347,0.2087971929062151,0.1650063763931459,-0.007137980759487232,8.780873017418669e-6,1183,-0.003607741563919437 + 0.0im,-0.003558135229599867 + 0.0im,1.0,4.628693438478115e-6,0.6384765919768123,-0.0006961269035962688,Terminated
17,17,0.01,0.7073424644513365,0.2069261813484366,0.24829702338721302,0.1864041498742179,-0.007232857162187408,8.345889217705425e-6,1196,-0.0036469840655285225 + 0.0im,-0.003597448102137283 + 0.0im,1.0,6.403446986462148e-6,0.6309000920675238,0.0018629048670500397,Terminated
17,17,0.01,0.7022050906257018,0.20902613230187922,0.3051238418446662,0.211623353092305,-0.008682193160629452,7.570022270158572e-6,1024,-0.0038261126881497507 + 0.0im,-0.0037723606184334613 + 0.0im,1.0,4.22319044068855e-6,0.6220747209092149,-0.0011905287363364765,Terminated
17,17,0.01,0.705062355314944,0.20786236709327297,0.35966965901569714,0.22985688745946545,-0.007765719630244824,8.520023128340158e-6,1141,-0.0037157680521674166 + 0.0im,-0.0036646231365728477 + 0.0im,1.0,6.042125657199792e-6,0.6239039952461923,0.0005501826812605585,Terminated
17,17,0.01,0.7045383710774659,0.20803451464605666,0.4180922534029408,0.24263165569273212,-0.008252232642917339,7.345302731183515e-6,1088,-0.0037204628718411265 + 0.0im,-0.003674330169960568 + 0.0im,1.0,4.56010815330014e-6,0.6195004436817881,-0.0005858230701596376,Terminated
17,17,0.01,0.7070711013969644,0.20699596108572188,0.49044582037929996,0.2489235522560896,-0.008244878084461256,6.543543626915449e-6,1098,-0.0037255989501328215 + 0.0im,-0.0036751417256243955 + 0.0im,1.0,4.498607217948542e-6,0.6165557222460453,-0.0008872667409305495,Terminated
17,17,0.01,0.7047966576735097,0.20794016082620845,0.5575045053828046,0.24548330515743244,-0.00831708192854154,6.438680508734852e-6,1092,-0.003758893879192314 + 0.0im,-0.003711503834817817 + 0.0im,1.0,5.044931577220373e-6,0.6159384028828576,0.0001512797063105676,Terminated
17,17,0.01,0.7060162724604053,0.20744878411301967,0.6096154520523632,0.23696897325942654,-0.008581802827154773,5.316206800495358e-6,1059,-0.0037449293773463873 + 0.0im,-0.0036960665884864137 + 0.0im,1.0,5.148717468589836e-6,0.6157578211472743,-0.0005633943111777637,Terminated
17,17,0.01,0.7058519137567782,0.20750664208143468,0.6585651466518154,0.2240182951766003,-0.008066757451124595,5.441690063230425e-6,1129,-0.0037742048431649 + 0.0im,-0.0037183568719273918 + 0.0im,1.0,3.829906712160332e-6,0.6152105179395848,0.0006776931826022481,Terminated
17,17,0.01,0.7055007776751828,0.2076045914440488,0.6910608069907511,0.21258221533811628,-0.008075680169355528,4.927875570877579e-6,1130,-0.0036322813501597005 + 0.0im,-0.003579007011070656 + 0.0im,1.0,4.9797940390654835e-6,0.614529407381259,0.0006166773815685477,Terminated
17,17,0.01,0.7060566611155442,0.20742987105890442,0.7289139028002829,0.19650196257111097,-0.008605323863284291,3.5672134963276113e-6,1063,-0.003647396904223712 + 0.0im,-0.0035988787893512643 + 0.0im,1.0,6.087744114220744e-6,0.6134729781016532,-0.00048544698535650825,Terminated
17,17,0.01,0.552940274407803,0.24706357102591342,0.577916496934383,0.24185409281315168,-0.015199791485185212,3.684661752400189e-6,602,-0.007515829115335304 + 0.0im,-0.007377436336754776 + 0.0im,1.0,4.251608435506981e-6,0.6133439308597989,-0.005096402413904356,Terminated
17,17,0.01,0.5522645446287229,0.24712233330325784,0.17341424137460082,0.14315921451226743,-0.013400135396970232,5.7281168761044934e-6,660,-0.0073583797957686905 + 0.0im,-0.007224389893942358 + 0.0im,1.0,6.168138109320092e-6,0.625333857633578,-0.0042882802393468195,Terminated
17,17,0.01,0.5556292231821742,0.2467504739536201,0.21535468591786405,0.1685568362728666,-0.01500579588224446,5.781771359526177e-6,596,-0.007495925237143598 + 0.0im,-0.0073661729632685915 + 0.0im,1.0,3.917462596012296e-6,0.6210834352291802,-0.005164001861645441,Terminated
17,17,0.01,0.5539141228248271,0.2469364523749103,0.25341789253660557,0.18832869221798307,-0.015594048186969299,6.159849518170304e-6,577,-0.007498286578040219 + 0.0im,-0.007363223799843867 + 0.0im,1.0,4.109694260381758e-6,0.6191040688865725,-0.0056484556776859535,Terminated
17,17,0.01,0.5524450871660669,0.24713676481576896,0.3139772991975558,0.2147075565129509,-0.014794540575630486,5.371375777771423e-6,612,-0.00747340334970252 + 0.0im,-0.007340251545395258 + 0.0im,1.0,4.585019653338478e-6,0.6163703807265156,-0.006148264771045106,Terminated
17,17,0.01,0.552650924568602,0.24707330634389066,0.38015810637737035,0.23437930362199036,-0.014891222938352279,5.078631333979047e-6,611,-0.007697365552588623 + 0.0im,-0.00756860541412499 + 0.0im,1.0,3.7990013472337645e-6,0.6148097325296584,-0.0051483684303090865,Terminated
17,17,0.01,0.5547175433585972,0.2468208165180172,0.43112713302904554,0.24358316932172333,-0.014575470136561838,3.6507854868328874e-6,626,-0.007309586860905445 + 0.0im,-0.007184751702681166 + 0.0im,1.0,4.109395325309728e-6,0.6138406234418837,-0.005181817795555046,Terminated
17,17,0.01,0.5545481300484362,0.24688822868916094,0.4836535690861757,0.24825045664966752,-0.01551230590857368,3.6645012348990775e-6,589,-0.007395940250191669 + 0.0im,-0.007263323414854071 + 0.0im,1.0,6.062693029643748e-6,0.6134740232207956,-0.005871084007101229,Terminated
17,17,0.01,0.5533639187749838,0.24699725372091352,0.5538376920674142,0.24507176132805025,-0.014822406784719471,4.36719167597028e-6,616,-0.007702163897354833 + 0.0im,-0.0075645542762494454 + 0.0im,1.0,6.523131834123077e-6,0.6142738772416131,-0.005267844097279043,Terminated
17,17,0.01,0.5499357715951748,0.24738459692690942,0.5714448573876598,0.2436014307660852,-0.014642630318522412,4.0926777804613425e-6,624,-0.007526708372689596 + 0.0im,-0.007398109060525482 + 0.0im,1.0,5.565269172407116e-6,0.6140633677080509,-0.004526139718608034,Terminated
17,17,0.01,0.552167449345812,0.2471231393284951,0.6008572868246546,0.23846532296967715,-0.01515992861461432,3.925352165902429e-6,603,-0.007637974936877455 + 0.0im,-0.007499288057990229 + 0.0im,1.0,5.442974164984286e-6,0.6139401322607468,-0.00470484366714037,Terminated
17,17,0.01,0.5548929119272439,0.24683554259000673,0.6458198670298928,0.22746816685837196,-0.015172759541791142,2.7081835620689964e-6,604,-0.007481793772233143 + 0.0im,-0.007349316405382545 + 0.0im,1.0,4.323524642030555e-6,0.6126732923352212,-0.005231477290415498,Terminated
17,17,0.01,0.39343904576018285,0.23849938506587914,0.48751559277521606,0.24793145049317084,-0.02601465510843894,3.278111235102122e-6,352,-0.01444051299623818 + 0.0im,-0.014089249972060444 + 0.0im,1.0,5.252853712230696e-6,0.6131965928239412,-0.012683154398107684,Terminated
17,17,0.01,0.39033652553521897,0.2377773127452383,0.1359309608076051,0.1172995935014421,-0.024226679076156554,5.283702809441676e-6,372,-0.014324566915068242 + 0.0im,-0.0139775790350104 + 0.0im,1.0,5.267620643967426e-6,0.6182247762768109,-0.012534325851905885,Terminated
17,17,0.01,0.3936582753048855,0.2385332612947831,0.17282129598420595,0.1425943041959412,-0.024464913705403886,5.9945008092681035e-6,369,-0.014237107348843278 + 0.0im,-0.01388271967594802 + 0.0im,1.0,3.8219793986298605e-6,0.6183738595556466,-0.012412153574095175,Terminated
