N,M,Leakage,Noise_m,Noise_std,NO,CO,MSE,Eq_MSE,I_m,R_m,eq_t,domEig,domEigLV,C_sur,trc_max
6.0,6.0,0.7,0.001,0.001,1.0716931974736323e-7,0.12319865190468013,2.914623420299207,10.619471940261352,-0.0354926731001818,0.20770496065536714,84.0,-0.15000000000000047,0.26865648671108533,0.9999999999999999,4.2516050140957147e-16
6.0,6.0,0.8,0.001,0.001,5.452606960872868e-19,0.15495997083773902,6.92954241846522,21.997767037149877,-0.02202689518691393,0.12921811490303375,128.0,-0.10000000000000016,0.18613406091439613,0.9999999999999999,3.873121125570116e-16
6.0,6.0,0.7,0.1,0.001,0.14126600680493615,0.1453024641919582,0.999987415154382,0.0006075464506092234,-0.02460662475579587,0.1351970633413255,11110.0,-0.0002439462592850722,0.02002789458121629,0.9999999999999999,0.0004129247718114554
6.0,6.0,0.8,0.1,0.001,0.10008359184201078,0.17597347876074496,21.607249372628065,0.7926478637992947,-0.027940897723736764,0.1614196687807304,608.0,-0.007490576265098954,-0.008517494839060651,0.9999999999999999,1.8123761166035388e-12
6.0,6.0,0.7,0.2,0.001,0.23466858552081668,0.18241656574114923,7.429707576457375,0.10090196813297901,-0.026151998285565026,0.1705581500486112,1198.0,-0.0059206444646520695,0.04276896663845045,0.9999999999999999,0.02821174138271731
6.0,6.0,0.8,0.2,0.001,0.19993430327318784,0.15172032209200653,10.91758508579277,0.08644496730450774,-0.023260929095635385,0.12526717963100364,1166.0,-0.0004242737953201257,0.026763867727193098,0.9999999999999999,0.03373885198142902
6.0,6.0,0.7,0.3,0.001,0.3876383947233761,0.1416929826956603,35.347172257801766,48.89622514472728,-0.0062610539193252105,0.060792223293099995,1058.0,-0.003375400026634454,0.005012511675544156,0.8333333333333333,0.1599037988645761
6.0,6.0,0.8,0.3,0.001,0.3669345784360583,0.1974112110696976,33.924011217242416,23.841791330808874,-0.013340297107652124,0.09465809084495136,477.0,-0.01724366419723436,0.027029155342759716,0.9999999999999999,0.03171290411134785
6.0,6.0,0.7,0.4,0.001,0.3356521316473817,0.16484118175971918,13.703128013101013,8.500791546706942,-0.024623503662290488,0.16652971986094714,622.0,-0.01290939734295593,0.003430474763877369,0.9999999999999999,0.07584498134762668
6.0,6.0,0.8,0.4,0.001,0.4503042025721427,0.22363433264052054,46.521708155227486,54.97702124359066,-0.00462550650486267,0.05325688327271864,4632.0,-0.0006907443985784468,0.04209871147196077,0.8333333333333333,0.0360313266316891
