N,M,Leakage,Noise_m,Noise_std,NO,CO,MSE,Eq_MSE,I_m,R_m,eq_t,domEig,domEigLV,C_sur,trc_max
11.0,11.0,0.7,0.001,0.001,0.01744640568264425,0.06934985415996918,6.1567312002921515,21.96962062404343,-0.010807754779297513,0.12831306627979291,110.0,-0.08793836603088404,0.21354635053516746,1.0000000000000002,0.17792796119377202
11.0,11.0,0.3,0.001,0.001,0.000762577491142041,0.027984412005564084,0.19734076760567362,0.7521845620807159,-0.01748729770967516,0.19181599848194322,39.0,-0.2458096131292696,0.17631418883943342,1.0000000000000002,1.3299921575582206e-16
11.0,11.0,0.7,0.1,0.001,0.14961120330187647,0.10215024319066593,15.718986972678142,35.62145999395751,-0.0157484280860299,0.17252980944975022,1783.0,-0.003150991763749503,0.03848211336555815,1.0000000000000002,0.016410954047028088
11.0,11.0,0.0,0.001,0.001,2.4297295341196625e-6,0.0,0.209630749458821,0.8314288620953724,-0.018181818212242476,0.19999999999999998,43.0,-0.27632131738352966,0.15794586515716816,1.0000000000000002,2.775557561562892e-17
11.0,11.0,0.3,0.1,0.001,0.14347599838085076,0.03817626045565125,3.199649046776773,0.12814338231530892,-0.017282311564489977,0.1806508984054794,986.0,-0.0064379953839124775,0.03138925679079472,1.0000000000000002,0.043615347792618296
11.0,11.0,0.1,0.001,0.001,0.0005999392933942418,0.008896195662293053,0.2286096447715313,0.9107854033017301,-0.01814421827933097,0.1995056686995051,43.0,-0.24878600247772775,0.1660011915178076,1.0000000000000002,5.869815988445669e-17
11.0,11.0,0.5,0.001,0.001,0.00035628113416808204,0.046511249561640114,0.8580164231191597,3.450088656926677,-0.020410815351709816,0.22394043513495102,57.0,-0.24966717069262578,0.24972421091359767,1.0000000000000002,1.907778404714452e-16
11.0,11.0,0.8,0.001,0.001,5.7536180705066e-9,0.07079051194667985,9.850068910969489,32.3619972108914,-0.015129805190650318,0.17439375677976676,131.0,-0.09999999999999998,0.26154167664656824,1.0000000000000002,5.892493487136309e-16
11.0,11.0,0.9,0.001,0.001,3.019253735186984e-7,0.07875302097094113,22.164809999391984,32.26559396769431,-0.008085096719393003,0.08825304911865918,253.0,-0.04999999999999999,0.06343798101790751,1.0000000000000002,7.168564000026064e-16
11.0,11.0,0.4,0.001,0.001,0.00789111545334925,0.036796327675145735,1.7651512178132083,6.033600042168011,-0.017562865403943587,0.1917575941746043,79.0,-0.09994580687896634,0.1656382519572316,1.0000000000000002,1.3529748532644502e-16
