N,M,Leakage,Noise_m,Noise_std,NO,CO,MSE,Eq_MSE,I_m,R_m,eq_t,domEig,domEigLV,C_sur,trc_max
4.0,4.0,0.2,0.001,0.001,6.485065827467839e-15,0.052030129305847085,0.19577119695403136,0.7378447656884446,-0.04790655985868844,0.19153485850876,41.0,-0.2616125713719054,0.17871269674446846,1.0,2.951514099681497e-17
4.0,4.0,0.5,0.001,0.001,4.7378026656574675e-25,0.11228731265306689,0.5777172277120424,2.2742039017355022,-0.042776022663879504,0.16622575491710967,55.0,-0.25,0.16635923233272282,1.0,1.4824677519408392e-16
4.0,4.0,0.2,0.1,0.001,0.027498998956016655,0.032361886914861526,0.2064308255250747,0.7842677763078447,-0.04933309938753401,0.19748389702830416,41.0,-0.21322885562691626,0.17699015383431002,1.0,1.3109402101311418e-16
4.0,4.0,0.5,0.1,0.001,0.17417917699140584,0.16836161505327404,1.0125794480435428,3.837042440399915,-0.057366941436748725,0.21229949112399998,59.0,-1.8892442906905472e-6,0.21589671174788294,1.0,1.5981225210231562e-5
4.0,4.0,0.2,0.2,0.001,0.0780986853048523,0.04408099324165281,0.7601037367984372,2.9628645266717877,-0.055044961877016865,0.2192824839055379,59.0,-0.11996311398459802,0.1833374824928093,1.0,6.373598401360672e-17
4.0,4.0,0.5,0.2,0.001,0.22282430179208695,0.14127251226886223,4.31983950156866,0.3823250620381928,-0.04743182353957549,0.18025736019352262,480.0,-0.011296278705014425,-0.024821684637380874,1.0,0.016037385045848666
4.0,4.0,0.2,0.3,0.001,0.5009603851313201,0.06903109434901765,8.774891894906412,8.473054264595707,-0.04715874449449892,0.17430054667563383,220.0,-0.03850571272728406,0.005908944444880594,1.0,0.05575076156858089
4.0,4.0,0.5,0.3,0.001,0.45505074369989323,0.15721856523711655,0.880944595451369,0.007180078899166872,-0.0467262193044945,0.20439072576295408,2768.0,-0.0008674718635925523,0.0013232900806896936,0.75,0.03780445663180376
4.0,4.0,0.2,0.4,0.001,0.3118374317129965,0.058999151435190945,8.102109524508506,7.775950401121516,-0.04560494590797138,0.16900490159751055,257.0,-0.031665233718979835,-0.03538787551577083,1.0,0.04349000172896498
4.0,4.0,0.5,0.4,0.001,0.3550047808980774,0.2520025231742183,4.119167121293293,0.16763712362736782,-0.04909827864027659,0.1925334195658021,1024.0,-0.0074230068730061815,0.04533081263536884,1.0,0.008798704041430992
4.0,4.0,0.2,0.5,0.001,0.5279728459419125,0.08655666081890603,0.0704839770027118,0.005187958884897479,-0.04976913306902809,0.19695413820042396,10769.0,-4.0694422242165684e-5,0.038594085280038305,1.0,5.910916863379215e-5
4.0,4.0,0.5,0.5,0.001,0.30298258725193206,0.1627759526891054,6.631547538518927,3.941463941766421,-0.039657409456034014,0.147411238739108,361.0,-0.020394603713059168,-0.02338100663750057,1.0,0.029293294701641215
4.0,4.0,0.2,0.001,0.001,2.810823013832217e-158,0.04793732697362667,0.2108074822603048,0.7993818100658963,-0.050873972121472696,0.20374507279688117,41.0,-0.2685178351348605,0.18148642660692743,1.0,5.999992342498385e-17
4.0,4.0,0.5,0.001,0.001,6.557168260795834e-55,0.13591447109864627,0.5609625015452031,2.1713062867453026,-0.046505517126150406,0.18585371602727074,55.0,-0.2499999999999997,0.19559071439812203,1.0,7.655176336865066e-17
4.0,4.0,0.2,0.1,0.001,0.20725683823810334,0.03368056593342656,8.853876193861968,8.753317205010879,-0.04740198063992708,0.1778669859560485,225.0,-0.03511130093306221,-0.023021096985761165,1.0,0.042748772067994045
4.0,4.0,0.2,0.2,0.001,0.17697224130907235,0.07534031969321041,3.1379219447054654,7.85109217705356,-0.05042955877955728,0.19295517740336524,115.0,-0.07185582634906901,0.13473531916987716,1.0,1.2160181512006364e-15
4.0,4.0,0.5,0.1,0.001,0.2431823362708528,0.1583957722469595,4.104517407216768,0.8834332116112399,-0.040329667892189995,0.13384584886425174,1134.0,-0.00615304026753432,0.001507282733259424,1.0,0.014832461014384792
4.0,4.0,0.2,0.3,0.001,0.40786114282736863,0.06666660279315116,9.056970679457367,14.467192130154071,-0.042122266635714924,0.1445226902145163,270.0,-0.03272772027337501,0.004893177029774792,1.0,0.10889812761804765
4.0,4.0,0.5,0.2,0.001,0.33014666984923136,0.16268151049948865,1.4521745163329367,0.0005875599945616946,-0.06895496611835514,0.28953508153684915,3129.0,-0.0016415355010626445,0.04302202438487932,1.0,0.0027622254878135687
4.0,4.0,0.2,0.4,0.001,0.4723729439073535,0.08471000951640573,2.3827082584570114,0.006133031705257688,-0.05518987655827761,0.20041712259231137,773.0,-0.005595236115595427,0.047008746349982394,1.0,4.321888061842773e-15
4.0,4.0,0.5,0.3,0.001,0.4129544893465056,0.15953434155776114,7.85126401999512,9.311408853173255,-0.038941414004960796,0.15078959842623563,204.0,-0.04092164097855629,0.03635049103719253,1.0,0.12951101268694534
