N,M,Leakage,Noise_m,Noise_std,NO,CO,MSE,Eq_MSE,I_m,R_m,eq_t,domEig,domEigLV,C_sur,trc_max
12.0,12.0,0.8,0.001,0.001,9.177014470659587e-6,0.05261747704939702,12.685077249842902,40.74670714000047,-0.021096676907014,0.25223041209978564,131.0,-0.09999999999999962,0.3627435346395907,1.0,4.704955245948201e-16
12.0,12.0,0.1,0.001,0.001,0.000947635844310743,0.00895409313677785,0.24675566464758322,0.9225854897862664,-0.01682456416917007,0.20161836027683736,44.0,-0.23048078719600545,0.16728436651897285,1.0,5.820069549361248e-17
12.0,12.0,0.8,0.1,0.001,0.18732964517690592,0.10973169584662691,19.038719127390646,0.847784783778721,-0.013769546530354627,0.19542655942599987,1942.0,-0.0033022556492195926,0.059676419836991144,0.8333333333333334,0.05392217097143752
12.0,12.0,0.6,0.001,0.001,0.005181331423175466,0.05393431364545348,1.3337461298935591,5.1497343174247545,-0.015664297373045977,0.18403071148609665,65.0,-0.16656049390557595,0.20328499834352548,1.0,2.1036465694556366e-16
12.0,12.0,0.1,0.1,0.001,0.15613644633577642,0.01207996922855825,2.3547215724318633,0.08577875524285174,-0.01763141105121134,0.19210966673754212,827.0,-0.005957176557603671,0.0030416983634112198,1.0,0.0358806111854888
12.0,12.0,0.7,0.001,0.001,0.0008074229275764046,0.06011774952976663,3.008659319773685,10.377785225443724,-0.01433371723069896,0.16793107571023633,86.0,-0.14999999999999986,0.20532649593136737,1.0,3.764307027085435e-16
12.0,12.0,0.9,0.001,0.001,0.0003492649687570709,0.08675124262708486,64.78084307161143,53.111762050062666,-0.10133507118481945,1.1957887519295423,253.0,-0.05000000000000015,1.172637607498399,1.0,5.644197479522054e-16
12.0,12.0,0.5,0.001,0.001,0.008812467684908615,0.040798505019652695,8.111059250570696,11.49810519435698,-0.01903063445554141,0.22413973886398256,161.0,-0.04583340240577572,0.09205342204016424,1.0,2.669982786877314e-14
12.0,12.0,0.4,0.001,0.001,0.013234665259053547,0.032189309659342406,4.274553847248218,2.5854953756190278,-0.016050034720365647,0.18803546481720615,314.0,-0.02097808859405125,-0.018486552606944234,1.0,0.02490454365356745
12.0,12.0,0.0,0.001,0.001,0.0005958042844677313,0.0,0.21222759039474437,0.8450152348913478,-0.01666856682602493,0.19999999999999996,43.0,-0.25587050587798055,0.1595104071455242,1.0,4.109126233720063e-17
12.0,12.0,0.2,0.001,0.001,0.00019888121738260132,0.016363904781732795,0.23706220028354882,0.8757827114395821,-0.016299855908666245,0.19541996848247115,43.0,-0.2629565684629496,0.17048280443418967,1.0,1.1958428364820221e-16
12.0,12.0,0.3,0.001,0.001,2.5394588690701646e-8,0.02550762400067758,0.20697103000747566,0.7835575156828934,-0.017347901065355484,0.2076242501957062,39.0,-0.26239548111987687,0.1951787518786369,1.0,1.265214746845879e-16
12.0,12.0,0.6,0.1,0.001,0.1514563722121881,0.07857717995939,4.202290823789463,0.023394157456212754,-0.013664167510703856,0.15494299021950625,1403.0,-0.0019875746806670845,0.014241142876503084,0.9166666666666667,0.062458052793128875
12.0,12.0,0.8,0.2,0.001,0.268215982616639,0.12292139753039032,12.06140549650163,1.8484807573153605,-0.009608540848581286,0.13484420845940134,1258.0,-0.004559511213196097,0.01917726665094451,1.0,0.02255684068699929
12.0,12.0,0.7,0.1,0.001,0.1014210791704262,0.08923820180347385,10.138999835187928,0.27299598958588855,-0.01763782693006958,0.20281890770147384,606.0,-0.011644670791853285,0.0032668951762067416,1.0,4.637973832395392e-16
12.0,12.0,0.1,0.2,0.001,0.23864354259799353,0.015280581058521292,1.8215657754734866,0.00223384016306492,-0.016974433540846216,0.19016568413382726,1515.0,-0.004517700482908841,0.04494086737410828,0.9166666666666667,0.039619987101877384
12.0,12.0,0.2,0.1,0.001,0.17085689522549877,0.02571531529318346,3.1293724863645838,0.6555069147615875,-0.017492381589631376,0.18382131551819028,590.0,-0.015569526180365369,0.02859284880897173,1.0,0.039734001623280675
12.0,12.0,0.9,0.1,0.001,0.17269768514744413,0.11727805739486222,149.39209445645636,166.0453188589082,0.054202128046349614,-0.6338999227776861,3340.0,-0.0006108810511022264,0.8010072904538,0.75,0.47436121466364867
12.0,12.0,0.3,0.1,0.001,0.21097464041605174,0.03452159403928242,1.7588181908318787,0.000856240259793183,-0.012109384287952364,0.14210399474792648,2731.0,-0.0020943184224702944,0.08672876139941105,0.75,0.24716550911022078
12.0,12.0,0.5,0.1,0.001,0.1532562430407823,0.06052902281824189,3.0492436318492513,0.08872058345508324,-0.012018773900411825,0.1479586764771942,1204.0,-0.004012542761807089,0.026323876264327382,0.8333333333333334,0.1650279754012524
12.0,12.0,0.7,0.2,0.001,0.2425914792866849,0.1045309542509571,3.915206379032998,0.4320849728155833,-0.018763197368091948,0.22758320469277468,2446.0,-0.0009187196226560173,0.07538706778685082,0.8333333333333334,0.021761415626192774
12.0,12.0,0.4,0.1,0.001,0.14096294457189457,0.044583567820070225,1.3599303207205822,0.01080253037051512,-0.01412176132030808,0.15987569679067543,1761.0,-0.004663404728553083,0.0342697351312064,0.8333333333333334,0.08991769210816526
12.0,12.0,0.0,0.1,0.001,0.1053774579692649,0.0,0.9750394290391092,0.0001922925628342759,-0.018078289869786036,0.19999999998569373,1253.0,-0.0016746430167025605,-0.006792279791974305,1.0,8.68569196534861e-11
12.0,12.0,0.8,0.3,0.001,0.28742245357984303,0.13003761119511484,2.2620663561778116,0.18799710795694624,-0.016825426907947142,0.20478098128015024,8882.0,-0.0002689038977238482,0.04040049927560658,0.75,0.01181645785877632
12.0,12.0,0.6,0.2,0.001,0.21748684602162732,0.08433283553480161,4.298529170962534,0.10331939168969043,-0.018515766594676127,0.2131679946555662,1385.0,-0.002293337590232781,0.07552311525335068,1.0,0.008380785841157725
12.0,12.0,0.1,0.3,0.001,0.316782285923731,0.016767105112457457,0.566109128502593,0.0006055934161372411,-0.017679170591824684,0.19831348319207276,2371.0,-0.002679468253039156,0.030745965386294906,1.0,0.007415909450961252
12.0,12.0,0.7,0.3,0.001,0.31600823300744757,0.11184333754817931,2.7564697813283154,0.05794277112278647,-0.014296816187566378,0.16702470836737002,2661.0,-0.0017012941730528673,0.028844250551571825,0.9166666666666667,0.01836151273259952
12.0,12.0,0.1,0.4,0.001,0.3129399596764013,0.016088690575122258,0.6790925596338948,0.0007060664135321319,-0.01683764711350548,0.19111261373182767,4222.0,-0.0013663605974132652,0.05719937768465797,0.8333333333333334,0.03735039877142928
12.0,12.0,0.0,0.2,0.001,0.28213192780757573,0.0,1.468904523390631,4.271666360474706e-5,-0.02038078373491531,0.19357049786815228,5087.0,-0.0009968058850012183,0.15018838327540154,0.75,0.03659560647051143
12.0,12.0,0.4,0.2,0.001,0.3135361103816013,0.06376824533267363,2.6888553039303056,0.03848284272550513,-0.013565699065134459,0.15633746572937887,966.0,-0.006465977119936569,0.035329821476081706,1.0,0.10267581273478056
12.0,12.0,0.9,0.2,0.001,0.23170936363076156,0.13768169466274405,5294.42323478141,9359.864806946316,-0.008920108331286085,0.1336646378947923,2166.0,-0.0015879288992298175,0.029775369903290997,1.0,0.023048184269880402
