N,M,Leakage,Noise_m,Noise_std,NO,CO,MSE,Eq_MSE,I_m,R_m,eq_t,domEig,domEigLV,C_sur,trc_max
15.0,15.0,0.6,0.001,0.001,0.004039734842390046,0.04209330800526802,3.091574263498555,10.385886602797324,-0.01358932912049211,0.20393510821558405,90.0,-0.08858634563397333,0.22859377036424394,0.9999999999999999,2.4675482081118866e-16
15.0,15.0,0.7,0.001,0.001,0.005114523181189987,0.04578082880154236,11.567724701422536,10.312126969993601,-0.012066880761174296,0.17787040890333475,198.0,-0.03577314882166782,0.06958139986714701,0.9999999999999999,4.883594263785736e-15
15.0,15.0,0.9,0.001,0.001,0.005557320904048017,0.06173885888257429,29.903482118631835,33.113474879682904,-0.007358398391170654,0.10885196015105487,270.0,-0.027429426059983098,0.06535861910287673,0.9999999999999999,8.40642372131816e-15
15.0,15.0,0.5,0.001,0.001,2.168792066262415e-7,0.03126284901205235,0.7799551644632572,3.022249419955475,-0.012857592028754621,0.19163501789650983,58.0,-0.24999999999999947,0.20120547229858926,0.9999999999999999,2.257800707927794e-16
15.0,15.0,0.8,0.001,0.001,0.00044062798595326204,0.05244438644161315,11.898993608389288,40.877977457588415,-0.016063487246291756,0.23852898522382693,132.0,-0.10000000000000006,0.3962854408792685,0.9999999999999999,4.3685901787044996e-16
15.0,15.0,0.2,0.001,0.001,3.657957966979386e-5,0.013139350596893902,0.24634223666671565,0.9614260126887608,-0.013506360635090356,0.20233685152905015,43.0,-0.26553800028685526,0.1832861167070366,0.9999999999999999,9.219776258822105e-17
15.0,15.0,0.1,0.001,0.001,0.013970007799182125,0.00694737562853853,6.678174935635567,7.741587564633882,-0.01344573678079446,0.19479621742478448,185.0,-0.039920370668188904,0.047315677681228754,0.9999999999999999,0.06477605060783838
15.0,15.0,0.4,0.001,0.001,0.0008265827150551532,0.02485658199452299,0.4372769050450621,1.8362695630798243,-0.014076206536429521,0.20982609936720686,48.0,-0.22497099521130642,0.20398986705095346,0.9999999999999999,1.34399076172534e-16
15.0,15.0,0.0,0.001,0.001,0.014723649829246621,0.0,4.84246165051339,1.2768834079892508,-0.013632232291055065,0.19552064884352952,252.0,-0.03359513367352898,0.01876416839760217,0.9999999999999999,0.05552661533454377
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,15.0,0.7,0.1,0.001,0.11834979281591192,0.07203454330625589,2.4774242080443147,0.36437118610307656,-0.011496445957420137,0.16494797272613296,3818.0,-0.0007260805686546403,0.023533597859934974,0.8666666666666666,0.024247788902727423
15.0,15.0,0.6,0.1,0.001,0.13764728729129808,0.06183578344638136,3.8923711275776047,0.0626947029001337,-0.014211885323422843,0.21327111321737555,1179.0,-0.0027830386221398794,0.04335102609601234,0.9999999999999999,0.018762887932268286
15.0,15.0,0.0,0.1,0.001,0.1359620557448599,0.0,0.6675833979240581,0.0005058472172558702,-0.013891448400304084,0.1966518500373239,2942.0,-0.002096721048086645,0.051367883685151876,0.9333333333333332,0.024691207509535035
15.0,15.0,0.9,0.1,0.001,0.15370588316080536,0.09998176782263526,169.2361320589876,188.37524571130072,0.00804695383339233,-0.1302273176138538,1233.0,-0.003341926456496498,0.18118966572633244,0.9999999999999999,0.09552197352990273
15.0,15.0,0.5,0.1,0.001,0.21119466933291883,0.0608509985736176,9.071937181296871,1.6717822849854156,-0.009305956218149322,0.1418586322277549,467.0,-0.015084182929686557,0.0037056399732248633,0.9999999999999999,0.14996948625052856
15.0,15.0,0.2,0.1,0.001,0.13226692002592727,0.021068250369076832,3.7780354803575875,0.5635717041092222,-0.014073178472840989,0.18407335868282046,677.0,-0.011840356475550672,0.024127985896618253,0.9999999999999999,0.07069270341867218
15.0,15.0,0.3,0.1,0.001,0.1904220285100496,0.03607534339863344,1.072990355764754,0.015567410602148684,-0.013063238051133708,0.1891119700914667,3868.0,-0.000545517118722175,0.05895275723935047,0.7999999999999999,0.0593905596465633
15.0,15.0,0.8,0.1,0.001,0.14540836729950452,0.08605272489148866,1.6933021130960104e9,3.63612557961242e11,-0.006017490518912375,0.12309875288702603,1251.0,-0.005765294349404389,0.01900469269661599,0.9999999999999999,0.06906887757620547
15.0,15.0,0.1,0.1,0.001,0.1755954411109794,0.01105334388505257,0.23793214437863872,2.349039054239267e-5,-0.015731496936327045,0.1994721434180334,5364.0,-0.0007186732467327508,0.06941472350529541,0.8666666666666666,0.009174391849955828
15.0,15.0,0.4,0.1,0.001,0.1279881367750529,0.04338326726548108,0.6171889324345128,0.011851036783458474,-0.013327320382245033,0.18435953094161142,3801.0,-0.00026589976698495195,0.06070332093484524,0.7999999999999999,0.09248922979452254
15.0,15.0,0.0,0.2,0.001,0.24559879706248616,0.0,0.9359605059314711,0.00165441195692939,-0.014015974585191845,0.19619447348487756,1916.0,-0.0009159864793041697,0.09592887486146941,0.9999999999999999,0.01914563205580227
15.0,15.0,0.8,0.2,0.001,0.26284032919516687,0.10240110784990628,131.9332558717043,170.43782388861786,-0.006299125477366689,0.10913339727069196,5808.0,-0.0002963026025742876,0.03821274902103353,0.7333333333333333,0.052934823310970006
15.0,15.0,0.5,0.2,0.001,0.20371087501537163,0.06337636363170485,0.454393503300763,0.0763234847638903,-0.0140016667820878,0.20637961045780592,11493.0,-0.00019176091405251458,0.06173959497858407,0.8666666666666666,0.00571609053084187
15.0,15.0,0.7,0.2,0.001,0.18482668344323747,0.08250217175012489,3.452691058121175,0.10457685972404132,-0.013556208876990187,0.20482809282774142,2563.0,-0.001615313839897505,0.049274038299235295,0.8666666666666666,0.019833063097997417
15.0,15.0,0.3,0.2,0.001,0.25873468419246015,0.039824695636839776,0.7512766890095697,0.0060637653346764285,-0.012768010649204024,0.1832488266380455,3368.0,-0.0009491047157953288,0.0886220013715815,0.7999999999999999,0.05898547048280565
15.0,15.0,0.6,0.2,0.001,0.21303333534556504,0.0737644937077537,2.4077787135451603,0.3774953448114194,-0.011490712626476548,0.17107735777789543,2443.0,-0.0018959611139830823,0.04314737386067052,0.7999999999999999,0.05010749373238543
15.0,15.0,0.9,0.2,0.001,0.26347164852845695,0.12074016218324213,82.07177289087059,106.57326472874863,-0.011589669028692571,0.1977192922960134,1443.0,-0.0030212574014977338,0.0870392764574307,0.9999999999999999,0.013827652009858013
15.0,15.0,0.2,0.2,0.001,0.22149541799515637,0.024454930473931307,0.7182269898377917,0.00017693848736488065,-0.01455887343532643,0.19425072291840956,4469.0,-0.0008519410219621157,0.12116566340712163,0.7999999999999999,0.020671355301861757
15.0,15.0,0.4,0.2,0.001,0.21441516164334948,0.04794331195508766,1.2800518300004327,0.04127994749708771,-0.013605572301549497,0.1919851083541526,1571.0,-0.0025334005732933406,0.034059830998899074,0.9999999999999999,0.015048641683927274
15.0,15.0,0.1,0.2,0.001,0.22301074562997816,0.01272895757693294,0.5842633895993755,3.731478333530383e-5,-0.014061167574959338,0.19850083944815075,3708.0,-0.0012003171038110405,0.07103767264435752,0.9333333333333332,0.008524032269902115
15.0,15.0,0.6,0.3,0.001,0.3249723352805313,0.09101544809796572,2.0617747984080936,0.3819381722577458,-0.01094526169084519,0.1634364797537718,7139.0,-0.00024211968964033708,0.0380780564073534,0.7999999999999999,0.01255822354374561
15.0,15.0,0.9,0.3,0.001,0.29828707965376183,0.12651533578289237,91.53177097486989,164.1455545961489,-0.013290749363761782,0.224456560825152,3204.0,-0.0010786574518209927,0.03053048021537831,0.9333333333333332,0.0274417357740103
15.0,15.0,0.0,0.3,0.001,0.24488591417651162,0.0,0.7598768796133766,5.916426772815118e-6,-0.013374281644724203,0.1883155181740788,3653.0,-0.00019764210646902009,0.07463084336312005,0.7999999999999999,0.06464958703058536
15.0,15.0,0.8,0.3,0.001,0.2615806564251431,0.10836743441114369,5615.691612799758,7166.240507840051,-0.006536134553730583,0.11003651480987402,4900.0,-0.0004906254282967505,0.01715649635037486,0.8666666666666666,0.08119428898170564
15.0,15.0,0.2,0.3,0.001,0.2979189550954098,0.02940343057823546,1.069943340752908,0.0007877021280757776,-0.013097615784726915,0.1892299484721195,3169.0,-0.0002872440753333036,0.07790666698868556,0.7999999999999999,0.024375141908219496
15.0,15.0,0.3,0.3,0.001,0.3251535335914014,0.04588073249136178,0.5993499831644421,0.017170596762164758,-0.013352494799070587,0.19470637451167805,4295.0,-5.8371069727447815e-6,0.08559018080534798,0.9333333333333332,0.010976279918874116
15.0,15.0,0.7,0.3,0.001,0.2776286324964299,0.09852383917549401,9.175246441259821,11.763016813928,-0.010483483385547785,0.15449400820450404,4413.0,-0.00044269468796518627,0.04803627525232625,0.7999999999999999,0.03230642075714324
15.0,15.0,0.5,0.3,0.001,0.29928699683145527,0.0683497761494024,1.8250402105919032,0.22079113400591396,-0.012185753711932652,0.17798964723910468,1607.0,-0.0023610997289168086,0.04710426966701562,0.9999999999999999,0.03451379960376409
