N,M,Leakage,Noise_m,Noise_std,NO,CO,MSE,Eq_MSE,I_m,R_m,eq_t,domEig,domEigLV,C_sur,trc_max
13.0,13.0,0.3,0.001,0.001,8.352488360190095e-5,0.023397618761966523,0.19495416234495253,0.7329087915696693,-0.015343062671533143,0.19913932857826724,39.0,-0.2622350568889956,0.18416795465497177,0.9999999999999998,1.2714097291213876e-16
13.0,13.0,0.9,0.001,0.001,0.01442345660316825,0.07251963791575973,71.61870357893217,110.13142774695645,0.695229473653603,-8.121433037950208,1333.0,-0.009839698732765613,9.238246596757577,0.9230769230769229,0.9108023280795525
13.0,13.0,0.0,0.001,0.001,1.1188496415979245e-13,0.0,0.20962082478085228,0.8313751310907054,-0.015384615384615385,0.2,43.0,-0.27639320224222347,0.15794042130590505,0.9999999999999998,2.775557561562892e-17
13.0,13.0,0.8,0.001,0.001,0.017471021677809638,0.0609664076122678,0.934615197255057,5.664916820650304,0.015803872721460294,-0.21284462916792662,175.0,-0.07216149870427097,-0.09372078359781792,0.9999999999999998,0.3525539541160972
13.0,13.0,0.5,0.001,0.001,0.007557933835831653,0.037200561908970566,2.1195406484275305,0.003022194629627817,-0.013990750608630536,0.1765253888650556,1030.0,-0.0008731016249426976,0.06591443798634608,0.9999999999999998,0.0010563280724178309
13.0,13.0,0.1,0.001,0.001,0.0001855558199736908,0.008595805769767659,0.24614462759270292,0.9184441340910059,-0.015229557254668057,0.19780923284238427,44.0,-0.2631413253551806,0.16455873813975316,0.9999999999999998,5.803279170671814e-17
13.0,13.0,0.6,0.001,0.001,0.0014505082886020297,0.05207809272046583,1.80425398365325,6.894765990437566,-0.021324232239748137,0.2716709863380771,65.0,-0.19999999999999973,0.3243316080072468,0.9999999999999998,2.2108675391333757e-16
13.0,13.0,0.2,0.001,0.001,0.0010851920595982827,0.01762861425270667,0.2492655985146831,0.9210283814173181,-0.015377448804125287,0.19927174225268532,43.0,-0.2175975862762999,0.17293501372360187,0.9999999999999998,9.481378972099688e-17
13.0,13.0,0.7,0.001,0.001,3.674663471736918e-8,0.0468225818403957,2.535522346875379,8.740424310402396,-0.013553476370305385,0.17421436661047393,86.0,-0.1500000000000004,0.24961548164524452,0.9999999999999998,2.1618581976701364e-16
13.0,13.0,0.4,0.001,0.001,0.0008860923982838447,0.028389738101721688,0.465486130866295,1.9310769239382086,-0.01588203055891063,0.20285732503587434,48.0,-0.20704988534203445,0.19238040307435747,0.9999999999999998,1.9552013950906345e-16
13.0,13.0,0.0,0.1,0.001,0.11558607491100978,0.0,6.184068556134381,3.1768224439649253,-0.016406099765412952,0.18961003782810099,329.0,-0.02082456701214624,-0.028990675702949244,0.9999999999999998,0.11767348338626542
13.0,13.0,0.3,0.1,0.001,0.18902944296375568,0.036787368612051674,2.2778611135593416,0.0009444802183844142,-0.014350077026738624,0.17328206675086674,1540.0,-0.0028033671765976204,0.0589555823431146,0.6923076923076923,0.08518873380133524
13.0,13.0,0.1,0.1,0.001,0.11552906075383859,0.011020942202170217,0.24721688703138645,4.6523373610706766e-5,-0.01664462308812246,0.19340919190064404,4958.0,-0.001264457874843837,0.020825428415208496,0.9230769230769229,0.021480476919114696
13.0,13.0,0.9,0.1,0.001,0.1188959205543822,0.09397761357701517,5380.5135987991225,7287.498376854473,-0.003824261941756085,0.06724086639237839,1933.0,-0.00020138019947382244,0.024321021745514176,0.9230769230769229,0.07200400350458527
13.0,13.0,0.0,0.2,0.001,0.2651221675547917,0.0,0.5952731160922988,1.8411941208758742e-5,-0.01602783771566915,0.19267081942641687,4759.0,-0.0005634260829277856,0.03536798178162563,0.846153846153846,0.0573049382415618
13.0,13.0,0.8,0.1,0.001,0.16058477993095566,0.09654356210535477,4.695551617298143,0.5368114949632642,-0.013654895719362493,0.20644601598704546,4721.0,-0.001282949897947815,0.12931102624922905,0.846153846153846,0.1020023953421526
13.0,13.0,0.5,0.1,0.001,0.15498430693282095,0.058324580562847866,5.085801471260723,1.211042391600465,-0.011565233194875981,0.14609789969424794,607.0,-0.011735142968058583,0.007798418738188668,0.9999999999999998,0.07873934095296285
13.0,13.0,0.1,0.2,0.001,0.290333722436019,0.0142647546311293,2.008090069005759,0.0012476772123060588,-0.016923344072825856,0.1846500648421017,1437.0,-0.0024445752525866717,0.04445969053315702,0.9230769230769229,0.08392254157966401
13.0,13.0,0.6,0.1,0.001,0.13368059672350296,0.064950063041439,3.54868852366124,0.07374723475934605,-0.013143942201560645,0.17112902322075169,1006.0,-0.005640980311243421,0.029496795591196175,0.9999999999999998,0.03751320597421067
13.0,13.0,0.2,0.1,0.001,0.1086939805556193,0.02070834167459875,1.2348599000979792,0.00021033384148497637,-0.016645005748891824,0.19523489720242052,1197.0,-0.0021240300628507826,0.029866712252814464,0.9999999999999998,0.024173777661449406
13.0,13.0,0.7,0.1,0.001,0.11959062302554528,0.0835254260033973,71.39211570498834,98.39846325030665,-0.009031498934815044,0.09787063407258846,1261.0,-0.004188992096620135,0.06694666441135216,0.9230769230769229,0.19921082603977536
13.0,13.0,0.4,0.1,0.001,0.15719379956072674,0.043287042080972254,152.29825112656982,185.806352596237,0.027923451085689034,-0.36190415052530894,1660.0,-0.0014003464664155277,0.9935633909769301,0.7692307692307692,0.7273734708955288
13.0,13.0,0.3,0.2,0.001,0.21177248956132116,0.04108697888578074,0.5856553001912418,0.018877220612372896,-0.01587014823514395,0.1917989143029504,2580.0,-0.001732399561988903,0.12261450140752142,0.846153846153846,0.016005312135858527
13.0,13.0,0.0,0.3,0.001,0.2617263431788006,0.0,0.46298529631893776,3.1499499150102725e-5,-0.016131497467595998,0.19857603491027842,4331.0,-0.00027960293749272624,0.04997117165398359,0.9230769230769229,0.0050713874150156504
13.0,13.0,0.7,0.2,0.001,0.239711438383003,0.09576345303043224,24.399669389436234,38.01256367053497,-0.009815200968525603,0.1227797598456419,4263.0,-0.000978761056247641,0.03233724109333801,0.7692307692307692,0.08794899797389814
13.0,13.0,0.9,0.2,0.001,0.1889457086150834,0.10954687934355538,154.7348894486205,163.58570653366073,0.008253657721400978,-0.06670639410098272,960.0,-0.005694058573828916,0.07117555845017387,0.9999999999999998,0.09159808035000452
13.0,13.0,0.3,0.3,0.001,0.3794146336272365,0.05206040197492684,1.7729536932915437,0.0031585813025114175,-0.014737198654397987,0.17930628774900714,1613.0,-0.0030771579295209906,0.10265707330793367,0.9230769230769229,0.03436614270501945
13.0,13.0,0.8,0.2,0.001,0.18889029972917826,0.10332019886367753,8.797603736774729,0.46528830342761685,-0.012914087304750813,0.16967373994199292,1952.0,-0.0030396353361463566,0.042314007012514615,0.9999999999999998,0.017512553319982454
13.0,13.0,0.5,0.2,0.001,0.23810030646040617,0.0712176612570584,11.105311187956714,12.365821039083748,-0.013354976707003571,0.17159062869939357,2166.0,-0.001314196932965024,0.07108846852906184,0.846153846153846,0.04825936321771223
13.0,13.0,0.1,0.3,0.001,0.2829120756287378,0.015688172114315533,0.8262241027706974,0.00011333092379614967,-0.015279719455604418,0.1911482883642743,3120.0,-0.0009092488596769884,0.07886657592331921,0.846153846153846,0.04253147957186159
13.0,13.0,0.6,0.2,0.001,0.2495883381748871,0.08777994037736311,2.8604521449925944,0.8743036292881315,-0.014370152580611611,0.18801076449843365,3295.0,-0.0016138235736902703,0.07356878906288936,0.846153846153846,0.02710053260753605
13.0,13.0,0.2,0.2,0.001,0.22280034246047153,0.027229771567428382,2.023400127439312,0.0037080913479275858,-0.015178318862817584,0.18689926204656243,1667.0,-0.0027886684110753836,0.06495504789554105,0.846153846153846,0.0516689960413403
13.0,13.0,0.7,0.3,0.001,0.3008450773695309,0.10024908511068964,20.052315534365523,16.528954211635902,-0.011125932766425326,0.13817848493011592,4000.0,-0.0002959852924408812,0.04901402155561173,0.7692307692307692,0.04858735969899969
13.0,13.0,0.4,0.2,0.001,0.2326627714074205,0.05612341676453047,0.6425822693185193,0.022585855199252474,-0.013804347541723532,0.17785990044449296,4554.0,-0.0003803423934640603,0.04528682609873891,0.7692307692307692,0.06664384180928651
13.0,13.0,0.9,0.3,0.001,0.26747798883842383,0.13712213686816707,502.6515661759701,650.5616738179814,-0.01215675563932937,0.16603972684994772,7421.0,-0.0007682406616925032,0.03101748952616565,0.9230769230769229,0.01601924779230069
13.0,13.0,0.0,0.4,0.001,0.38596764155560787,0.0,3.741977690871725,0.005231518278007264,-0.015702093551193546,0.1910262443518069,1358.0,-0.0031427333062354875,0.11370746464805316,0.9999999999999998,0.0346548380597056
13.0,13.0,0.3,0.4,0.001,0.3280688335029615,0.045156461224516616,0.8859501835313589,0.0017470249582579292,-0.013568682301556294,0.17141029263449498,2806.0,-0.0016184323965464664,0.08512675986918569,0.7692307692307692,0.05158269770895233
13.0,13.0,0.7,0.4,0.001,0.3596623542837624,0.11950748980851497,8.443427589972051,2.5642172734985724,-0.011701860160145952,0.1566417922407743,2834.0,-0.0015112438435253548,0.05991615114008159,0.7692307692307692,0.046459431096798176
13.0,13.0,0.5,0.3,0.001,0.28315332820474737,0.08128795666322906,1.3553565668872627,0.01172989646666342,-0.015461977312706305,0.19655989009407707,2137.0,-0.0027805376188978644,0.05236748592507775,0.9999999999999998,0.010980290095386423
13.0,13.0,0.8,0.3,0.001,0.29516523076642337,0.12186952657872836,4.056069873609148,0.05660574732258342,-0.015051978475740052,0.20383271446658363,6852.0,-0.00021139576339136663,0.08785484437576374,0.7692307692307692,0.021769442212662058
13.0,13.0,0.1,0.4,0.001,0.32145789288972737,0.01629415020981992,0.38298135474830236,9.962741940472007e-5,-0.01570518949315204,0.19845611990497083,4405.0,-0.0006604839237789202,0.07481146226532805,0.9230769230769229,0.010082255686739018
13.0,13.0,0.9,0.4,0.001,0.33987846411333905,0.14632155089066165,1207.7841399394606,1822.9299068852492,-0.016941707084481148,0.2614118199953853,4252.0,-0.0006409344875443994,0.1111345533563858,0.846153846153846,0.04259090329736646
13.0,13.0,0.6,0.3,0.001,0.3391676599611324,0.0995997905636345,9.501932968050543,4.175966636529434,-0.014288591493653508,0.18042890017566598,3761.0,-0.00043746416764312083,0.07961799823493515,0.846153846153846,0.02222623888284739
