N,M,Leakage,Noise_m,Noise_std,NO,CO,MSE,Eq_MSE,I_m,R_m,eq_t,domEig,domEigLV,C_sur,trc_max
10.0,10.0,0.5,0.001,0.001,0.0012427839655630034,0.04761013467738002,0.8513006006324271,3.4511135517633678,-0.02099962541078545,0.2081948928091312,57.0,-0.24439427574670272,0.2187183177496739,0.9999999999999999,1.358649465919987e-16
10.0,10.0,0.5,0.1,0.001,0.20174794389070666,0.08176123027787009,2.992844515010733,0.027183843752508242,-0.014239986400381434,0.12604546079636522,729.0,-0.004353706619872243,0.02528261895721019,0.9999999999999999,0.20249362402297771
10.0,10.0,0.1,0.001,0.001,0.0005147229716895807,0.011081657532907935,0.23045913136742688,0.9225776483627549,-0.020083580952832438,0.20065306524565862,43.0,-0.2544237907421816,0.17883785437447786,0.9999999999999999,6.776642471484376e-17
10.0,10.0,0.6,0.001,0.001,7.578087424131886e-5,0.07216249177533401,1.1447206861349886,4.319894766192886,-0.01660833745816076,0.1659370484414641,65.0,-0.20000000000000046,0.17055938970758816,0.9999999999999999,1.0757812798581237e-16
10.0,10.0,0.3,0.001,0.001,2.5211483005746065e-7,0.03082072943775395,0.20523227148474898,0.7781701800233263,-0.020576858637524512,0.20582591462601557,39.0,-0.25612653972737454,0.20024925920703485,0.9999999999999999,1.3417607085413886e-16
10.0,10.0,0.2,0.001,0.001,0.0007124202666853904,0.02087821783268165,0.24408899034307271,0.9564176861834341,-0.020263192837394813,0.20208993567484956,43.0,-0.2476256540234035,0.1814782840146282,0.9999999999999999,9.265161233432216e-17
10.0,10.0,0.5,0.2,0.001,0.2931759294293354,0.08363329745905873,4.998186244394087,0.7117116267008857,-0.013415272812188541,0.14271920644354968,1995.0,-0.0029109299750244965,0.1044803361747446,0.6,0.10319065569996375
10.0,10.0,0.4,0.001,0.001,0.0006387331967351334,0.047332467132630014,0.4694547055548775,1.9375311848196517,-0.022539808896952694,0.22545585917336322,48.0,-0.2476002153405101,0.2358736219862533,0.9999999999999999,1.7464944342005325e-16
10.0,10.0,0.3,0.1,0.001,0.1356415475778389,0.04778292060524786,0.8974715517725546,0.0027069095480701712,-0.02038549367578004,0.1945797324748954,1281.0,-0.004557030134532364,0.058580851642199915,0.9999999999999999,0.007144810429240498
10.0,10.0,0.7,0.001,0.001,0.0010726347309993611,0.06867300507572047,2.5816148749028627,8.86496758152913,-0.016154111866496967,0.1583332611037382,85.0,-0.1499999999999998,0.1771751734772085,0.9999999999999999,3.0241473402026646e-16
10.0,10.0,0.8,0.001,0.001,0.008705803091783282,0.08960084858330576,18.481664249035905,61.04242538331822,-0.05028028440373786,0.4990137573541082,131.0,-0.06921558686883851,0.6865364120383646,0.9999999999999999,3.46190726382291e-16
10.0,10.0,0.1,0.1,0.001,0.1842653567842918,0.013857443348937392,0.4862087205922027,0.00105297565225369,-0.020411183226044446,0.18705961117872622,4304.0,-0.0003167818455628818,0.06826690904279759,0.7999999999999999,0.07379505621825522
10.0,10.0,0.9,0.001,0.001,0.00010135657004265899,0.08608692947619757,61.7571396895668,70.36115762999032,-0.044916098230882835,0.441984412940952,252.0,-0.050000000000000044,0.427507106280916,0.9999999999999999,6.293142647152144e-16
10.0,10.0,0.2,0.1,0.001,0.26940289709254367,0.02988195052447689,2.777716160742248,0.004754517081756149,-0.020944051760548185,0.16519153496582112,1399.0,-0.00402765891751501,0.0414822479303678,0.7999999999999999,0.07417604532267134
10.0,10.0,0.6,0.1,0.001,0.11645263335212132,0.08180067310722135,2.83044712753798,0.04695822867236122,-0.016028893993955837,0.15569410486483062,1236.0,-0.006051852220886902,0.03878603463653135,0.9999999999999999,0.008374728796770444
10.0,10.0,0.3,0.2,0.001,0.21543743427861078,0.04863061920628063,0.2296990890067082,0.017520650341060352,-0.0206703263812931,0.18763250076335286,10937.0,-0.00010668972627647578,0.0036133536833824246,0.8999999999999999,0.036052901118140836
10.0,10.0,0.2,0.2,0.001,0.26414992578759905,0.03600346431052997,0.8696440211909806,0.00030809751800955443,-0.022011076556408216,0.18921982694076916,3936.0,-0.00021272264757698212,0.07684549002533546,0.7999999999999999,0.032194708626857964
10.0,10.0,0.5,0.3,0.001,0.3550683948683695,0.09750973340675102,2.1596623557873076,0.014418280648121477,-0.018386069190612166,0.17711692755901048,2444.0,-0.0007478122743199466,0.04356104911118991,0.6,0.04177374357759789
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,10.0,0.4,0.1,0.001,0.14779799963650028,0.06089423079267386,3.158982307796701,0.3953504049122152,-0.021177746738409678,0.20424006871688544,648.0,-0.01143098582199717,0.018040704340356456,0.9999999999999999,0.016285882448376133
10.0,10.0,0.1,0.2,0.001,0.2583871097900515,0.01730010004274151,0.7407314602078642,0.0006048540590461818,-0.021725390148878945,0.19509350407156195,2634.0,-0.0021384529442369017,0.06905520067161722,0.9999999999999999,0.01569844328025003
10.0,10.0,0.7,0.1,0.001,0.22860147536317232,0.10742655354765264,8.296899621087217,1.8321877855786572,-0.013973838708069175,0.15847442148034732,1315.0,-0.003644782591236126,0.06479616501923464,0.7999999999999999,0.07474575386882815
