N,M,Leakage,Noise_m,Noise_std,NO,CO,MSE,Eq_MSE,I_m,R_m,eq_t,domEig,domEigLV,C_sur,trc_max
17.0,17.0,0.5,0.001,0.001,0.0032313596527671334,0.03221554772039951,1.8365578403634397,6.3115361638728364,-0.011965223125471538,0.20101889978267037,76.0,-0.10524758789295939,0.19784565650798178,1.0,2.3191790544030815e-16
17.0,17.0,0.7,0.001,0.001,0.006908160093701981,0.0460144279769684,5.837183109555865,0.0033856245131032798,-0.01203485390204472,0.2023928681445415,862.0,-0.0046620435905620015,-0.0029630582666662327,1.0,0.007466289905019665
17.0,17.0,0.2,0.001,0.001,0.0002473867203070392,0.011465297208439633,0.24043089011291524,0.9025379914814187,-0.01162184549623901,0.19744227048797813,43.0,-0.2505045251242506,0.18004471692068685,1.0,9.127645752735074e-17
17.0,17.0,0.4,0.001,0.001,9.649615636304934e-6,0.023586728718733276,0.4242013936114836,1.8123774749021773,-0.01215098965544877,0.20573879281336863,48.0,-0.2538778667055295,0.20734238449793435,1.0,1.3343859122040612e-16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,17.0,0.1,0.001,0.001,0.0004948066206139045,0.00609769644185279,0.24716164714857716,0.9181300828300348,-0.011777969298221497,0.20003803125831598,44.0,-0.22824681577477712,0.16662434242424834,1.0,1.1501310956541236e-16
17.0,17.0,0.0,0.001,0.001,0.0024546471577116665,0.0,1.219829795388399,4.51403536919901,-0.011859340345202496,0.20000000000000004,73.0,-0.10681583875133316,0.16095815547878678,1.0,2.775557561562892e-17
17.0,17.0,0.9,0.001,0.001,1.5634145917251994e-6,0.055383615171750035,101.45571299676602,118.19902257537656,-0.03598796357751667,0.623803304624466,254.0,-0.0500000000000005,0.7880578592303846,1.0,1.3684162006007023e-15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,17.0,0.6,0.001,0.001,0.008928841934152786,0.03574663023652105,9.36039235684248,1.734069034348648,-0.01244045949608589,0.20730478546603476,380.0,-0.015268553466149368,-0.05861284779298934,1.0,0.018696251666021978
17.0,17.0,0.7,0.1,0.001,0.15009203048329128,0.06785581638707898,5.795992399890104,0.07891384081966402,-0.010589854212392792,0.18937033542616744,2613.0,-0.0019823196561638994,0.05842813953744418,0.823529411764706,0.0821875634979305
17.0,17.0,0.5,0.1,0.001,0.11242541708774205,0.047312372193502525,0.301798227244277,0.00496649548814547,-0.011853718282681974,0.19386679763695738,11479.0,-0.00023322611925936248,0.041101444217814136,0.823529411764706,0.007644271198218704
17.0,17.0,0.2,0.1,0.001,0.1489355356301419,0.01864432290822364,0.27054853970462656,0.0005037477498308119,-0.014024117784132888,0.19256132783717103,7155.0,-0.00031584902166615725,0.06612707838899583,0.8823529411764707,0.012383709996276766
17.0,17.0,0.4,0.1,0.001,0.1357369156197784,0.04234580849507239,1.1190554377682984,0.03928948376574086,-0.011349386955231112,0.18360314811209133,1668.0,-0.0026561539121633584,0.030236681103337743,0.823529411764706,0.079624987219901
17.0,17.0,0.8,0.1,0.001,0.17361821882446302,0.08800488790377899,5.501756396272671,1.3473436991861383,-0.011719259625280929,0.19034398782607273,5276.0,-0.00022388985696306264,0.11075372856303568,0.823529411764706,0.021176173707582915
17.0,17.0,0.9,0.1,0.001,0.15455526165835634,0.08517322213489299,182.6708053960213,205.76406235117554,0.014464947300314026,-0.21717958620577552,1762.0,-0.0033369160056778307,0.27614369577660375,0.7647058823529412,0.1723637398769508
