N,M,Leakage,Noise_m,Noise_std,NO,CO,MSE,Eq_MSE,I_m,R_m,eq_t,domEig,domEigLV,C_sur,trc_max
3.0,3.0,0.7,0.001,0.001,9.19297650345175e-127,0.141386512368328,3.5036273246080922,14.701526848813058,-0.10759490259672314,0.32621039549419456,83.0,-0.1499999999999999,0.4411818903519519,1.0,3.194257656810774e-16
3.0,3.0,0.6,0.001,0.001,8.64441827893735e-70,0.2040391378425105,1.044150651986783,3.9834964554062244,-0.060408973480394125,0.16791726029185752,63.0,-0.2000000000000003,0.1585595689312003,1.0,1.5596997358555702e-16
3.0,3.0,0.7,0.1,0.001,0.39894341833354374,0.3003931206064627,9.215126964585403,12.248695636912059,-0.027146958881549853,0.09478622822643966,285.0,-0.027504833158252775,-0.0384528544206886,1.0,0.07389676514052533
3.0,3.0,0.6,0.1,0.001,0.3342137058776149,0.20557005464645095,2.4293916635715624,0.05478823689991525,-0.07047976463103915,0.22700598017606444,1650.0,-0.0031285406999001994,-0.0062424857653604615,1.0,0.006667137419989253
3.0,3.0,0.3,0.001,0.001,3.291714302541111e-99,0.08787432129836499,0.17685427153427213,0.6635058797869616,-0.0634646959756845,0.1878887221579324,38.0,-0.2626133685565594,0.1692742647595798,1.0,3.382672463210503e-17
3.0,3.0,0.1,0.001,0.001,6.563253086025686e-5,0.051498705712068056,0.20469023923640142,0.7902760305701764,-0.06904740134625637,0.20708527765859316,41.0,-0.2773449942379824,0.17176849376237582,1.0,2.982929709847988e-17
3.0,3.0,0.8,0.001,0.001,3.6629387610892464e-75,0.2791340771405664,4.4314649528467775,14.639463899523587,-0.038089467985086015,0.10674567523499086,119.0,-0.09999999999999998,0.11726100684824985,1.0,2.0223610243049144e-16
3.0,3.0,0.4,0.001,0.001,2.941207666073036e-82,0.16061286918402093,0.29060937906967604,1.0736679886710063,-0.05169166744485492,0.15445088295546203,47.0,-0.2525392524402407,0.1367724183106307,1.0,6.351636078410896e-17
3.0,3.0,0.9,0.001,0.001,1.9782903222325292e-89,0.48953255446494653,21.858263880607193,42.69305899049408,-0.03225940626007951,0.09258843841175375,234.0,-0.04999999999999988,0.07143498578868591,1.0,4.76297126911126e-16
3.0,3.0,0.5,0.001,0.001,8.918545578619708e-32,0.10878290036096588,0.40037567982980227,1.6368825400199416,-0.08904665967763346,0.2744534765256057,49.0,-0.25,0.3659155370182574,1.0,5.173952706665901e-17
3.0,3.0,0.0,0.001,0.001,1.4020700230269677e-141,0.0,0.1682834818521039,0.633774573952052,-0.06666666666666668,0.20000000000000004,40.0,-0.27639320225002095,0.1586968221248094,1.0,0.0
3.0,3.0,0.6,0.2,0.001,0.40422138696250953,0.30130295915097993,14.913735437480314,17.1162125887969,-0.1088876930205456,0.324711741370449,179.0,-0.02824909225266117,0.14057380831358127,1.0,1.7882344466727423e-16
3.0,3.0,0.1,0.1,0.001,0.026110702770157687,0.042207472026587756,0.19618391691975975,0.7553057524848188,-0.06675406421741743,0.20011626511199085,41.0,-0.22103918180836568,0.16583180487333846,1.0,3.215631000567266e-17
3.0,3.0,0.3,0.1,0.001,0.35828189858618864,0.04547465302993485,0.36791253269735863,1.5374380621467985,0.011675126565107689,-0.09416706875346405,107.0,-0.09205789812076413,0.004684431230077745,1.0,0.30563457105804903
3.0,3.0,0.7,0.2,0.001,0.0706452475496861,0.10730293747988487,3.6244827520951106,12.958510231947294,-0.08320224414379733,0.2541208777613319,84.0,-0.10735338031783784,0.27830597803369894,1.0,2.9962773999525137e-16
3.0,3.0,0.8,0.1,0.001,0.22777186667482993,0.4151619446392678,23.488102368530246,43.36364573759562,-0.08128815985700974,0.22815747378801424,191.0,-0.035684499238679536,0.1718772390888549,1.0,1.4828736343874923e-16
3.0,3.0,0.6,0.3,0.001,0.45164609918803517,0.2799166874647306,7.9231564911527625,4.199439019401153,-0.062132003338553204,0.18620946637115562,195.0,-0.03688502162112521,0.039799787632939385,1.0,4.092492002655013e-17
3.0,3.0,0.4,0.1,0.001,0.013610437877411084,0.1684250071620153,0.353281183924595,1.3663976510704003,-0.06625376526631925,0.1940349094937551,46.0,-0.23598394762344402,0.17332975029267988,1.0,9.605575409382823e-17
3.0,3.0,0.5,0.1,0.001,0.03729986960644317,0.19985234805579602,0.6151541356673852,2.3857187003338356,-0.0601828150746537,0.17924150639444245,54.0,-0.20406522679770994,0.16683078125832193,1.0,7.610956932158733e-17
3.0,3.0,0.9,0.1,0.001,0.2747097810517294,0.38142695999060056,130.17098422628737,187.20887567327802,-0.051038452638446447,0.19885883093852671,290.0,-0.024749595953598703,0.10612969385282033,1.0,0.03988533302896534
3.0,3.0,0.0,0.1,0.001,0.30010422653126884,0.0,4.971957692086765,4.452823180206806,-0.07192116483357264,0.20000000000000004,188.0,-0.03662859102288732,0.041497641457371684,1.0,2.775557561562892e-17
