Leakage,Ω,Noise_m,Noise_std,NI,MSE,Eq_MSE,I_m,R_m,eq_t,domEig,domEigLV,max_iters
0.0,1.0,0.0,0.01,0.04452513259656161,0.5090949846876689,4.201276500259259e-9,-0.27958560959913564,0.5282380491618682,66,-0.1770327369191735,-0.3295982676550181,false
0.05,1.0,0.0,0.01,0.056912588711669126,0.6225183926304819,1.6996918521990993e-9,-0.31486055125569584,0.6218303856570464,67,-0.17903882763978116,-0.3213943991367348,false
0.1,1.0,0.0,0.01,0.003381254571513365,0.8135133195948712,1.139094612857299e-8,-0.44165928019238687,0.8863059302530971,69,-0.15874387867808343,-0.4108515838831882,false
0.15000000000000002,1.0,0.0,0.01,2.4424906541753412e-15,1.1092830173243873,9.402163702690188e-9,-0.699723886803019,1.5063202815187953,71,-0.15750347407075413,-0.3380575537466371,false
0.2,1.0,0.0,0.01,0.00036304629399275083,1.158896083734748,3.6304638312502705e-9,-6.166060672431644,11.941831151271334,80,-0.143365445433561,-0.23095748880376815,false
0.25,1.0,0.0,0.01,0.02823164818326456,14.484447429489506,14.872369545949734,0.9744126765560219,-1.871310016860626,84,-0.1383658772632723,1.938340362171039,false
0.3,1.0,0.0,0.01,0.00022242935918467932,16.059972507488325,16.498384574686096,0.3712923666955558,-0.7521395649583889,87,-0.1283928513887937,0.7756635933903177,false
0.35,1.0,0.0,0.01,0.00023356101689831708,16.46405285799619,16.870070079084208,0.2144032690923196,-0.43947089501584313,91,-0.12467652969818663,0.44589643069548446,false
0.39999999999999997,1.0,0.0,0.01,5.5762926054135995e-5,16.642999859351697,16.930412105348772,0.18142047837505657,-0.3905989858705354,96,-0.11674408163484246,0.3730464705533325,false
0.44999999999999996,1.0,0.0,0.01,1.1652234732582981e-11,16.54239026647677,16.76250741028303,0.12222481613770048,-0.2610028796339389,108,-0.10839619987997956,0.2690753155009644,false
0.49999999999999994,1.0,0.0,0.01,0.0013890014363271215,16.738169393037698,16.942337889227176,0.09432129005617405,-0.19337396018005742,123,-0.09192427126630479,0.19942132171968352,false
0.5499999999999999,1.0,0.0,0.01,0.019720225715398106,17.495891812332466,17.67254246413464,0.06231381640109396,-0.13428755286685395,132,-0.08197053452147761,0.1577740542283533,false
0.6,1.0,0.0,0.01,5.563301079847728e-5,16.363607517438666,16.375466159835625,0.05092851934622198,-0.10411576783239011,162,-0.06836949315080638,0.11180827732596962,false
0.65,1.0,0.0,0.01,2.684143565673986e-5,13.725821794284746,13.40461470741393,0.04906144576572448,-0.08990811916901148,185,-0.06156641045265161,0.09302699681008639,false
0.7000000000000001,1.0,0.0,0.01,3.164801189564537e-6,17.334439166953345,17.306225293556498,0.0330688785411017,-0.07861595399987537,201,-0.05548215497453855,0.08367966900144877,false
0.7500000000000001,1.0,0.0,0.01,0.0101298774986367,17.50287107929429,16.76588561764653,0.026892340246305612,-0.06500233122429183,225,-0.05127701859270322,0.04789898070134941,false
0.0,10.0,0.0,0.01,0.01414628471032398,0.48027496770883726,5.1820014487278e-9,-0.2178021806857332,0.4662542846565305,59,-0.19969751078649312,-0.3873646795016621,false
0.05,10.0,0.0,0.01,0.07472292760207247,0.6400797425610726,6.023297468441691e-9,-0.3232084675468508,0.6186572574281433,67,-0.17319982651635016,-0.21603696446577758,false
0.1,10.0,0.0,0.01,0.020485379269886004,0.8135288224576955,3.2696387825870353e-9,-0.42944092432356845,0.8684003005117417,69,-0.174701898536419,-0.35176264675611896,false
0.15000000000000002,10.0,0.0,0.01,0.05592409464236118,1.0577707871784519,1.52545445592566e-8,-0.7358541947322641,1.4433239275248917,72,-0.15833284221448918,-0.1679507722353468,false
0.2,10.0,0.0,0.01,0.006389722629084644,1.1402438693200598,1.0023771576005379e-8,-9.785979887280257,19.177093660960367,82,-0.13428842297604665,0.45573981415624365,false
0.25,10.0,0.0,0.01,1.0767921527941475e-6,19.449277476189547,20.212680358628905,0.8577817766619983,-1.9161000010992044,76,-0.14549032265569933,1.8879962587837549,false
0.3,10.0,0.0,0.01,0.01466264802124477,14.46362589639344,14.762774271219037,0.5370867231248639,-1.0247596413152853,95,-0.12169738968926147,0.9787942462887773,false
0.35,10.0,0.0,0.01,2.48957109603458e-6,14.135894159040843,14.373942847474986,0.2562384683700479,-0.4850924577837631,99,-0.11390956543343356,0.49370336721038993,false
0.39999999999999997,10.0,0.0,0.01,0.007749434633700656,16.23661205280188,16.5383863983511,0.15795892130943304,-0.32059735063923045,103,-0.11424246557536563,0.3315931302549515,false
0.44999999999999996,10.0,0.0,0.01,0.008400719895065502,15.83972196655306,16.037235950168757,0.11411836094288164,-0.22795670561848752,117,-0.0984856714922156,0.22543862798692232,false
0.49999999999999994,10.0,0.0,0.01,0.0002117701912383529,15.033361553043756,15.126335272201779,0.08919040839506867,-0.17351085184032608,133,-0.08452433331703589,0.170676794130666,false
0.5499999999999999,10.0,0.0,0.01,0.00016038450830260602,18.036150272906422,18.280351855372718,0.06357597957334772,-0.14096409389663658,142,-0.07594487850054724,0.12936105126330155,false
0.6,10.0,0.0,0.01,0.006203095030234729,15.028060627176842,14.947288221266783,0.05668792951434351,-0.11093105418664853,161,-0.07026218649518848,0.11426721825027093,false
0.65,10.0,0.0,0.01,1.03396275311581e-6,16.849154378366258,16.806323353891727,0.041678165998966336,-0.0885494347121577,161,-0.06898213855211974,0.09860378318835361,false
0.7000000000000001,10.0,0.0,0.01,0.002020187940677754,16.450609886614686,16.177867995664975,0.03132575096498878,-0.06417360631106908,198,-0.05904252683923983,0.05877756898707909,false
