N,M,Leakage,Noise_m,Noise_std,NO,CO,SMAPE,Eq_SMAPE,I_m,R_m,eq_t,domEig,domEigLV,C_sur,trc_max
12,12,0.0,0.1,0.1,0.7629216107880261,0.0,-0.01920776710035979,-0.003484885589392053,-0.01689146934207204,0.1996569950115423,16907,-3.339115877978466e-5 + 0.0im,0.08496646676309794 + 0.0im,0.9166666666666667,0.0013754261051385252
12,12,0.1,0.1,0.1,0.7228026395421275,0.024793978865557693,0.009439855996285334,0.012896806503306546,-0.01699488921761222,0.1993761749738342,6712,-0.0006598972375729633 + 0.0im,0.06501730792487437 + 0.0im,1.0,0.002158396110234082
12,12,0.2,0.1,0.1,0.7594187781345295,0.050002724795529196,0.05406706695161883,0.10210596055027152,-0.016779761358365296,0.19997074957772495,22378,-8.070613961846975e-5 + 0.0im,0.0754731533225513 + 0.0im,0.9166666666666667,0.0023571387310947598
12,12,0.30000000000000004,0.1,0.1,0.7223795532985104,0.07317062169515756,-0.2170836318323418,-1.0299784504623823,-0.016901833379876698,0.20050859452867545,17640,-6.897126342203408e-5 + 0.0im,0.08109570476492457 + 0.0im,0.8333333333333334,0.002175534267975111
12,12,0.4,0.1,0.1,0.7308381369040529,0.09924825815051103,0.059023981572508134,0.23062135819897994,-0.01699265288456285,0.20179999524778758,10768,-0.00017449421738661514 + 0.0im,0.09226984838493833 + 0.0im,0.9166666666666667,0.005796103161527603
12,12,0.5,0.1,0.1,0.7339370823524058,0.12327480510148213,0.07833225844582759,0.3257303272120703,-0.01636852101650493,0.19580249078257125,7323,-0.00024480435650116685 + 0.0im,0.10648861567455643 + 0.0im,0.9166666666666667,0.01075717285861528
12,12,0.6,0.1,0.1,0.7065784013930207,0.1474979781015931,-0.2201028930985052,0.15828506405840756,-0.015300599057150584,0.18443043539778226,6452,-0.0007708085526300122 + 0.0im,0.103129871448017 + 0.0im,0.8333333333333334,0.014504654039392917
12,12,0.7,0.1,0.1,0.7281813278036202,0.17058623753747057,-0.46292454475017597,-0.5623533539879502,-0.014697671743644149,0.17744705478250802,12002,-5.3751544175042403e-5 + 0.0im,0.042829901585646826 + 0.0im,0.8333333333333334,0.012399478541120565
12,12,0.7999999999999999,0.1,0.1,0.7229276142279852,0.19742435001291161,0.1585813587454286,0.20395153762127285,-0.014650298237293781,0.17572728931878936,7860,-0.0002847651701359219 + 0.0im,0.04742993230826708 + 0.0im,1.0,0.0020642515292019574
12,12,0.8999999999999999,0.1,0.1,0.7106543782039948,0.22062562156080254,-0.06824805567637021,-0.43792800235536566,-0.015758932949640665,0.19369046456514719,9234,-0.000657875161508457 + 0.0im,0.03971683240514 + 0.0im,0.9166666666666667,0.0027519558261071765
12,12,0.0,0.1,0.1,0.8076026732936286,0.0,-0.09683696245219356,-0.6452708044861195,-0.01680110492552999,0.19984938310330871,42627,-9.745466982014261e-5 + 0.0im,0.1080339690028257 + 0.0im,0.9166666666666667,0.0007546717160978549
12,12,0.1,0.1,0.1,0.7749918242394236,0.025486790251678423,-0.03203385261724593,-0.07407396636968885,-0.016732916562019393,0.19935562224034276,27274,-0.00016532528165135075 + 0.0im,0.04365653112307839 + 0.0im,0.9166666666666667,0.002563760722556616
12,12,0.2,0.1,0.1,0.8017547023228738,0.0516605344144766,-0.5427537166561953,-1.4784239316977401,-0.016899368290449843,0.19722147555479597,21443,-0.0001429259265994659 + 0.0im,0.17608114831232713 + 0.0im,0.75,0.0025340640591441717
12,12,0.30000000000000004,0.1,0.1,0.7913514238271502,0.077133828813546,-0.002643949723400484,-0.035524745958456255,-0.016832537240801408,0.20100585013673009,16607,-0.00013082348295476235 + 0.0im,0.06047090614883709 + 0.0im,1.0,0.0005775123297690895
12,12,0.4,0.1,0.1,0.8127969113611967,0.10399403418829278,-0.06669458361775472,-0.284453047105523,-0.016607503770392648,0.19896140325068992,18422,-9.045595156153478e-5 + 0.0im,0.10658366026928283 + 0.0im,0.8333333333333334,0.0019751427795225065
12,12,0.5,0.1,0.1,0.8049224259336687,0.12907900753642232,-0.3442931504801958,-0.16986604560985175,-0.016549100461784587,0.19796967419463082,10101,-0.00031024036608000733 + 0.0im,0.07396298213288069 + 0.0im,0.8333333333333334,0.005032416644836586
12,12,0.6,0.1,0.1,0.7874098834601391,0.15308309147784857,0.031720431135300944,-0.0058579740109642835,-0.01663039480198438,0.20036616227174628,7781,-0.0002927833783428354 + 0.0im,0.10155604637782506 + 0.0im,0.8333333333333334,0.004156268889459663
12,12,0.7,0.1,0.1,0.7962538200559005,0.18066093188418905,-0.043380688137093386,-0.0467449848277558,-0.015101551521654405,0.18303703463417106,6112,-0.0005385662321200004 + 0.0im,0.07966606068678259 + 0.0im,0.9166666666666667,0.00551255517766905
12,12,0.7999999999999999,0.1,0.1,0.7807525639098504,0.20361187089587962,0.07343431566291249,0.012896309074526466,-0.016630862351037314,0.20164120908344174,9505,-0.0001275777909280872 + 0.0im,0.07807564669882745 + 0.0im,0.9166666666666667,0.0041235275213011725
12,12,0.8999999999999999,0.1,0.1,0.8386620391679409,0.23382485962771388,-1.7718842756026365,-4.466813929919156,-0.011145603540210935,0.13005194322327565,6312,-0.0005106408395267424 + 0.0im,0.06906386787820037 + 0.0im,0.9166666666666667,0.01044896650254304
12,12,0.0,0.1,0.1,0.8076262964869038,0.0,-0.039616177927324234,-0.06124742287058135,-0.01677109897269817,0.19892682115573376,5951,-0.0007940731941627145 + 0.0im,0.08957754903190238 + 0.0im,1.0,0.0018818335914106365
12,12,0.1,0.1,0.1,0.8222551487899958,0.02649990277600511,0.18190359118947275,0.2889176275153862,-0.016752847621241428,0.19938758938356424,36936,-4.589562467749848e-5 + 0.0im,0.1252327262154225 + 0.0im,0.9166666666666667,0.0029165783676006795
12,12,0.2,0.1,0.1,0.9015673022697289,0.05446750273237643,0.06481344623944497,0.5534252364262469,-0.016425985082993966,0.1963033819731549,10998,-0.0002317906950355099 + 0.0im,0.19521274979710476 + 0.0im,0.5833333333333333,0.007550609665347525
12,12,0.30000000000000004,0.1,0.1,0.8047255140464207,0.07792829661625562,-0.2044970905300938,-0.3104112085711791,-0.01683330841070974,0.20107709304303764,21472,-0.0001697095950994373 + 0.0im,0.048504490788990225 + 0.0im,0.8333333333333334,0.001047801712562272
12,12,0.4,0.1,0.1,0.8469384191532848,0.10622516942992276,0.022056938574670965,-0.21306558237097126,-0.016724635177310244,0.200091866771126,11722,-0.00018364501061848975 + 0.0im,0.15151327309023807 + 0.0im,0.8333333333333334,0.002913411095736323
12,12,0.5,0.1,0.1,0.7967019484227162,0.12905234807396893,0.09103158178497749,0.119107630161351,-0.01678188244604028,0.19997562016443196,10115,-0.0003869904136637511 + 0.0im,0.04480615776496362 + 0.0im,1.0,0.0016170437378291989
12,12,0.6,0.1,0.1,0.8203502137737052,0.15640674184819117,-0.05902296351822099,-0.07835754702055693,-0.017130204806714885,0.20367405101262928,31448,-7.138871736808417e-5 + 0.0im,0.09507554716188706 + 0.0im,0.9166666666666667,0.0010354122616035263
12,12,0.7,0.1,0.1,0.8324613845598794,0.18549110494209525,0.1406961920793658,0.17448704723896338,-0.016648729684757144,0.2007672618241881,12769,-6.894478877244914e-5 + 0.0im,0.11160524219730683 + 0.0im,0.9166666666666667,0.0014850593285442022
12,12,0.7999999999999999,0.1,0.1,0.8055408847922398,0.2067184770267178,0.04374714940496213,0.024457517609386217,-0.017209110756881932,0.20816488158239987,7069,-1.9630266369487682e-5 + 0.0im,0.10440691567158485 + 0.0im,1.0,0.0021929504577785164
12,12,0.8999999999999999,0.1,0.1,0.8320423031926671,0.23604775972694614,0.036261474423625296,0.13885305749837495,-0.0187209913919486,0.22192645710035888,8696,-0.00013856604295437325 + 0.0im,0.1179366959474532 + 0.0im,0.75,0.003509519817361825
12,12,0.0,0.1,0.15,0.40595332332495937,0.0,-0.0614920868086038,-0.13907265296115612,-0.01753549853392465,0.1944737643826825,1717,-0.002919471820620204 + 0.0im,0.07219320834889537 + 0.0im,1.0,0.015592671880180094
12,12,0.1,0.1,0.15,0.45881215185002644,0.01963100369967756,0.11601178117879533,0.7968684775401762,-0.017314714830622517,0.19738603990573758,10728,-0.00028346416738822615 + 0.0im,0.10147627630458216 + 0.0im,0.8333333333333334,0.007551797072146277
12,12,0.2,0.1,0.15,0.45993078101130386,0.03820387453680624,-0.4902131620896748,-1.007777240021372,-0.016419679855746862,0.18549079015298828,2661,-0.0011430459409348275 + 0.0im,0.11616257889588287 + 0.0im,0.75,0.04016530897171262
12,12,0.30000000000000004,0.1,0.15,0.48156877396706976,0.057036557438525676,-0.8800607783325373,-2.401500606706561,-0.015552361412071725,0.1748131850083241,2349,-0.001306402939073592 + 0.0im,0.04258010793187235 + 0.0im,0.75,0.06888493768380469
12,12,0.4,0.1,0.15,0.3889594134190438,0.06966457465016197,-0.6394900226118218,-1.0578519559277701,-0.01599650647065472,0.1849628806436928,9407,-0.0005157496928211722 + 0.0im,0.05340725675283841 + 0.0im,0.75,0.03448353419578353
12,12,0.5,0.1,0.15,0.4450458169354893,0.10043723687750443,0.13187574513335093,0.6334888073177943,-0.01569232599268177,0.18941746357437358,5880,-0.0007562957352161977 + 0.0im,0.0702493221924917 + 0.0im,0.8333333333333334,0.043597260858678974
12,12,0.6,0.1,0.15,0.4451913598467589,0.11814702332569171,-0.11279411398805692,-0.13394470578611503,-0.0131577453609645,0.16570870699664886,2064,-0.0012604173627351035 + 0.0im,0.06108688755435555 + 0.0im,0.9166666666666667,0.06646950052273076
12,12,0.7,0.1,0.15,0.41632293721397506,0.137435279761515,0.0029199154602466545,-0.3420570308653197,-0.014573823338374505,0.17924747069268263,989,-0.006182800761881928 + 0.0im,0.06599556673328826 + 0.0im,1.0,0.022451949521516038
