N,M,Leakage,Noise_m,Noise_std,NO,CO,SMAPE,Eq_SMAPE,I_m,R_m,eq_t,domEig,domEigLV,C_sur,trc_max
13,13,0.0,0.1,0.1,0.4163715003515507,0.0,-0.14200652930155955,-0.18609264451061028,-0.016462050290398336,0.1959851470624332,3831,-0.0003568550184779398 + 0.0im,0.05912600183717459 + 0.0im,0.846153846153846,0.01568380848312757
13,13,0.1,0.1,0.1,0.3614153728370563,0.016341039848895105,-0.5162549748877426,-0.8306342227839245,-0.015317654878599853,0.1919688186094527,3864,-5.671851023664863e-5 + 0.0im,0.11409232348528513 + 0.0im,0.6923076923076923,0.031936028513926504
13,13,0.2,0.1,0.1,0.43712621089167797,0.036020197012821484,-0.536693061543198,-0.002472819219410566,-0.015666835072060795,0.18727266373384693,4320,-0.0006117992087204176 + 0.0im,0.07473548384342077 + 0.0im,0.6923076923076923,0.03140598142054318
13,13,0.30000000000000004,0.1,0.1,0.39501599568146617,0.05367472150888874,0.008410865926065856,-0.013272498810752553,-0.01573587280863797,0.20039121738282425,6201,-0.00048178977989355674 + 0.0im,0.052557911072608744 + 0.0im,0.9999999999999998,0.001931307184394503
13,13,0.4,0.1,0.1,0.41559141400993455,0.06915629496722535,-0.10544496631340808,-0.1751840100718653,-0.014350003734811163,0.1844613686773453,1629,-0.003914092457018543 + 0.0im,0.03545708116208523 + 0.0im,0.9230769230769229,0.0361589417029216
13,13,0.5,0.1,0.1,0.479664547765082,0.09232562408187545,-0.805421897040891,-1.0310329145822406,-0.013577409036005883,0.1740174287081615,4098,-0.001126042670881117 + 0.0im,0.07679296339904913 + 0.0im,0.6153846153846154,0.030824566604374375
13,13,0.6,0.1,0.1,0.47207817262118784,0.11115078799825755,-0.29244366008291806,-0.5117436108597321,-0.012649598513503503,0.16609497324990444,4122,-0.00015785876326807925 + 0.0im,0.035602798215217606 + 0.0im,0.6923076923076923,0.040699083021015575
13,13,0.7,0.1,0.1,0.42336401112089733,0.1289344920696215,-0.3137358251077088,-1.4462512292535694,-0.012750182326067939,0.17114554599481188,4047,-0.0010847924471020583 + 0.0im,0.05892336155563013 + 0.0im,0.846153846153846,0.021720185129589016
13,13,0.7999999999999999,0.1,0.1,0.40047156571528236,0.1435701257126931,-0.29842141301533653,-0.779489190840654,-0.009202124890680872,0.12692220513626892,1581,-0.002589111602015237 + 0.0im,0.016604983923507174 + 0.0im,0.9999999999999998,0.03212579979799794
13,13,0.8999999999999999,0.1,0.1,0.4080505663714486,0.16588087726734912,-0.060166632887956366,-1.0622313867799462,-0.009502791722456062,0.14092776273192903,1370,-0.005924695894966975 + 0.0im,0.07686384310677304 + 0.0im,0.9999999999999998,0.012365208343907022
13,13,0.0,0.1,0.1,0.7042751411521349,0.0,-0.22453928660643266,-0.21539673977396362,-0.015338179889192057,0.19733026336528678,7264,-0.0005114191020793788 + 0.0im,0.07011456019994863 + 0.0im,0.846153846153846,0.014199959196098799
13,13,0.1,0.1,0.1,0.740639088808098,0.02412213088652267,0.006839929098389047,0.012001370309557238,-0.015469975889707006,0.19968632600214967,23560,-0.0001553241867082291 + 0.0im,0.060436506858410795 + 0.0im,0.846153846153846,0.001141825677700682
13,13,0.2,0.1,0.1,0.7374567007901178,0.04715865451178036,0.00470064472759749,-0.024364008979319892,-0.015548754725584472,0.1997322217101751,9582,-0.0003553666595972829 + 0.0im,0.053838188686086925 + 0.0im,0.9999999999999998,0.0011830758993785593
13,13,0.30000000000000004,0.1,0.1,0.7153917312718681,0.06876677326165571,0.3006561184647862,0.7998462248067013,-0.01569447216712993,0.19939207655433325,15329,-0.00012671748077403258 + 0.0im,0.10617877754081698 + 0.0im,0.7692307692307692,0.0058598976073297206
13,13,0.4,0.1,0.1,0.7125151663251601,0.09494507461538676,-0.0013542676912084337,-0.012005598889293007,-0.015089120970464377,0.19444730413139005,10146,-0.0006310951885452053 + 0.0im,0.04680987286806703 + 0.0im,0.9999999999999998,0.0016030237098943394
13,13,0.5,0.1,0.1,0.7597923452362436,0.11972200192976021,-0.288892509502284,0.1088163513918228,-0.014657893545746174,0.19027055437297585,6006,-0.0005066849070668893 + 0.0im,0.10834534983394209 + 0.0im,0.6923076923076923,0.008237504943896731
13,13,0.6,0.1,0.1,0.7064185004115717,0.13783192710375478,-0.03551498840828284,-0.06556577520552036,-0.015502523326279492,0.20134413061687023,10327,-0.0005931795696947139 + 0.0im,0.1307926641892879 + 0.0im,0.9230769230769229,0.0030306363839997267
13,13,0.7,0.1,0.1,0.6968759861215928,0.16540528943113536,0.15773188355495407,0.23769745995628724,-0.016021087714599775,0.20926766893298382,11231,-0.00012891810913849314 + 0.0im,0.1039131248183535 + 0.0im,0.9999999999999998,0.001304345011599684
13,13,0.7999999999999999,0.1,0.1,0.6971007195554868,0.18351717954145655,-0.06176358606318764,0.28267957901720775,-0.01561233163013711,0.20559053231899524,6037,-0.0005513738991490081 + 0.00011289112175573382im,0.06013503635626596 + 0.0im,0.846153846153846,0.008380286531780056
13,13,0.8999999999999999,0.1,0.1,0.7208583406256893,0.2091656038357903,-0.39492298625032496,-0.6463098350792933,-0.012093184177938136,0.16275113824071913,4387,-0.0008181432116469451 + 0.0im,0.04365296539356181 + 0.0im,0.9230769230769229,0.008812686554888016
13,13,0.0,0.1,0.1,0.7924226622755146,0.0,-0.22802100734770986,-0.8677810417097707,-0.015464921358027755,0.19832832507214182,8826,-4.119873898257253e-5 + 0.0im,0.16546277695354367 + 0.0im,0.846153846153846,0.005041263448802442
13,13,0.1,0.1,0.1,0.8244362664479358,0.02538809897815691,-0.010859490355389472,-0.018813262868711652,-0.015602375935579792,0.19950126725950607,14115,-1.7243730609830424e-5 + 0.0im,0.14482440117310366 + 0.0im,0.9230769230769229,0.0018018972253363243
13,13,0.2,0.1,0.1,0.8102729731639121,0.04995823475658578,-0.28778826396972285,-1.323384998051107,-0.015674680205690548,0.20044792541749515,10676,-5.8836699909074495e-5 + 0.0im,0.15058167756771912 + 0.0im,0.6923076923076923,0.0036745208932995985
13,13,0.30000000000000004,0.1,0.1,0.7941509321747076,0.07367035087318793,-0.3793519977966282,-0.605092198209991,-0.015272429091355039,0.1984098046680126,14624,-2.7743428766980872e-5 + 0.0im,0.12581632943301121 + 0.0im,0.6923076923076923,0.006975470437240138
13,13,0.4,0.1,0.1,0.7978703448403536,0.09911401326017438,-0.11020874000371665,-0.19445977364785072,-0.015467349773271612,0.19999122519462909,20090,-7.189991689203468e-5 + 0.0im,0.04698264909700833 + 0.0im,0.9230769230769229,0.000892778270723543
13,13,0.5,0.1,0.1,0.8160767088684795,0.1262861852286051,0.07997183948062862,-0.14067256607779394,-0.015454328210405226,0.2004481739951886,14345,-0.00016759697085078624 + 0.0im,0.08701117425751781 + 0.0im,0.846153846153846,0.004947097229468512
13,13,0.6,0.1,0.1,0.7869728173120578,0.14886116190691742,0.023545134282074186,0.037166506258554784,-0.01519812923268404,0.19626357719778836,11506,-5.82835054135376e-5 + 0.0im,0.07832945254190392 + 0.0im,0.846153846153846,0.002206262829713167
13,13,0.7,0.1,0.1,0.8096245047604184,0.17370720820623758,0.03240930323634089,0.3353502518488531,-0.015075746593689593,0.19681151030605862,10159,-0.00035786821876083205 + 0.0im,0.06648686219717895 + 0.0im,0.846153846153846,0.005931230939856636
13,13,0.7999999999999999,0.1,0.1,0.7961653322030287,0.19663224938569931,-0.07637614920169511,0.018209128571254958,-0.013942578730044555,0.18473299485895187,7167,-0.00036149191593539174 + 0.0im,0.12005515372103795 + 0.0im,0.7692307692307692,0.006184564753321216
13,13,0.8999999999999999,0.1,0.1,0.798932025832218,0.2218919618068227,-0.7992345278607984,-1.0295313701097664,-0.01173610623573628,0.15651754561475562,6539,-0.0008610046231322978 + 0.0im,0.038796166448497156 + 0.0im,0.6153846153846154,0.01112511069552446
13,13,0.0,0.1,0.1,0.7799811078883179,0.0,-0.05492412927817643,-0.06097191606611302,-0.015443221458436157,0.1991661935415433,10862,-0.00039982953419816025 + 0.0im,0.1099057539461225 + 0.0im,0.846153846153846,0.001982405846333989
13,13,0.1,0.1,0.1,0.8131045013708063,0.024861430924810586,0.01568901208444835,0.009523216852927356,-0.015487319530110847,0.19910949966560304,9260,-2.4973898737388384e-5 + 0.0im,0.06451856476168308 + 0.0im,0.9999999999999998,0.0015176967507956269
