N,M,Leakage,Noise_m,Noise_std,NO,CO,SMAPE,Eq_SMAPE,I_m,R_m,eq_t,domEig,domEigLV,C_sur,trc_max
4,4,0.0,0.1,0.1,0.48405455908447204,0.0,0.040751337175577294,-0.006792852338055922,-0.05449982099395592,0.2,1847,-0.0018919208164213195 + 0.0im,-0.009733315751814747 + 0.0im,1.0,2.7755575615628914e-17
4,4,0.1,0.1,0.1,0.2835629027242824,0.026160387295269812,0.5417271319153729,0.27575440329849155,-0.04571233358569733,0.1685577650227708,155,-0.05633103828345693 + 0.0im,-0.05633103828345705 + 0.0im,1.0,0.10245263102530673
4,4,0.2,0.1,0.1,0.7744149052377992,0.06929269839353457,-0.08504904027269686,-0.9466518275939403,-0.029679596652030973,0.09303339755059636,272,-0.025114748029236016 + 0.0im,0.09012524260979654 + 0.0im,1.0,0.2142490652062548
4,4,0.30000000000000004,0.1,0.1,0.8380930203614705,0.12579319620192786,-0.1341530359191282,-0.3769572667926647,-0.044804934716988744,0.1600469086108372,1108,-0.00398580044145322 + 0.0im,0.07390584949126504 + 0.0im,1.0,0.014894807364352744
4,4,0.4,0.1,0.1,0.5269775019974132,0.11424558229026441,0.27927817786925924,-0.4928799364334128,-0.03320940845210916,0.12944496921587306,289,-0.029545681335325574 + 0.0im,-0.022577479870104434 + 0.0im,1.0,0.06122718359689473
4,4,0.5,0.1,0.1,0.5018423863159239,0.20356789443855805,0.13751771899844126,0.16334447150110148,-0.05523539752425707,0.21368310181698957,1686,-3.9057864715334265e-5 + 0.0im,0.06925713214932595 + 0.0im,1.0,1.2048492555843087e-6
4,4,0.6,0.1,0.1,0.5179932720103059,0.21966035959128533,0.17469959322469367,0.174272049590307,-0.0600544347875901,0.22394550044815598,954,-0.004914670097755026 + 0.0im,0.18648113497976726 + 0.0im,1.0,0.02134833314754593
4,4,0.7,0.1,0.1,0.4329516857607776,0.22213047252448265,0.4211980882708617,0.049705166589923966,-0.05277062050212943,0.22980942152631628,715,-0.007512428765402734 + 0.0im,0.15696611710163613 + 0.0im,1.0,0.013109122789975256
4,4,0.7999999999999999,0.1,0.1,0.666970545495349,0.35249702493139984,-0.20046976710176984,-1.150522804598615,-0.04406984969202041,0.17342200626957294,943,-0.005925009641635756 + 0.0im,-0.015275225498022934 + 0.0im,1.0,0.04858891454505048
4,4,0.8999999999999999,0.1,0.1,0.4876383777126502,0.38350126538215085,-15.924893010899522,-22.042769542457773,0.06020417475496696,-0.2648184454559771,602,-0.018313348986465347 + 0.0im,0.27873190421987254 + 0.0im,1.0,0.03762616594896583
4,4,0.0,0.1,0.1,0.5879456159765472,0.0,0.007091318388912505,-0.00991715569094154,-0.05074903400316678,0.19970929228009143,7218,-0.000581415439817112 + 0.0im,0.05863366847288431 + 0.0im,1.0,0.0006110843739372951
4,4,0.1,0.1,0.1,0.7942246016908765,0.045590429973401965,0.05764098188829513,0.10279856857132544,-0.05125615062780019,0.19916636128309406,4925,-0.0006731249016580061 + 0.0im,0.15670807550805207 + 0.0im,1.0,0.0031799169958763645
4,4,0.2,0.1,0.1,0.7568238819969655,0.07920850071503648,-0.00034272004071913284,0.007952633381444304,-0.053225889758478445,0.2019942671524282,2586,-0.00040535731757820897 + 0.0im,0.04081319248067066 + 0.0im,1.0,0.0008760548312027535
4,4,0.30000000000000004,0.1,0.1,0.8530833077041882,0.1335851123575385,0.015588335593761288,-0.02034561200752565,-0.04793443425248686,0.19120688146209291,3540,-0.0015912126827062464 + 0.0im,0.06797585123961929 + 0.0im,1.0,0.0022622697522682316
4,4,0.4,0.1,0.1,0.7449436083089194,0.16698217652843672,0.030958280197790088,0.06581331852769057,-0.051053754377028165,0.20517606846589692,28743,-0.00016603536742161245 + 0.0im,0.02481560172848378 + 0.0im,1.0,0.0002475518579793437
4,4,0.5,0.1,0.1,0.7503353896075624,0.19639175138106157,-0.023679350536224116,-0.1806109849711353,-0.050818380741944565,0.20363693170767788,1538,-0.0033677707769616937 + 0.0im,0.007499839471063857 + 0.0im,1.0,0.009898350066129255
4,4,0.6,0.1,0.1,0.8937355741575308,0.2937730166547301,-0.28091409782007304,-0.5158327436933484,-0.03579388272019341,0.1327407244571363,1495,-0.002563570550341925 + 0.0im,0.05359851793952519 + 0.0im,1.0,0.031191620837284256
4,4,0.7,0.1,0.1,0.7002470127816889,0.2771835212448679,0.11224767739297425,-0.8215113070971628,-0.01744099597592076,0.06869233272556008,328,-0.025969313378786316 + 0.0im,0.027218176589204314 + 0.0im,1.0,0.05182208216579826
4,4,0.7999999999999999,0.1,0.1,0.8333714329579124,0.3740161033002233,-0.09869797950959391,-0.21515216386503275,-0.042975757571815744,0.17013778361361614,11937,-0.0004047716357861479 + 0.0im,0.015724428788916934 + 0.0im,1.0,0.0005924233368080117
4,4,0.8999999999999999,0.1,0.1,0.8432871381969358,0.37535269018021183,0.07539196874557073,0.14702164101697043,-0.04564230627594656,0.18223192482757206,2956,-0.0007861356219787717 + 0.0im,0.06576397823050058 + 0.0im,1.0,0.0034555039555748484
4,4,0.0,0.1,0.1,0.7382949028857511,0.0,0.07883066403688975,-0.0013701803334727866,-0.051040988655906075,0.1999999999999999,1401,-0.003132920804895344 + 0.0im,0.007716908106836284 + 0.0im,1.0,2.636779683484756e-16
4,4,0.1,0.1,0.1,0.7558890360541395,0.04421723128868413,0.09245031872214529,-0.21622784457883257,-0.049193292925838066,0.19308768553590933,725,-0.009537127150483321 + 0.0im,0.031688673598689154 + 0.0im,1.0,0.011289314020145515
4,4,0.2,0.1,0.1,0.8990680726932273,0.0959072298565273,0.01592380590909283,0.04604218016841649,-0.05101911557068036,0.19640986274690903,2850,-0.0009469442021275766 + 0.0im,0.07104254510975681 + 0.0im,1.0,0.005203166160055022
4,4,0.30000000000000004,0.1,0.1,0.9533536443202051,0.14626258197106828,-0.006885170578568333,-0.08768266095891604,-0.05081887621149921,0.20010054873358146,4115,-0.0008768676770359559 + 0.0im,0.09888465964924706 + 0.0im,1.0,0.0022987986930684385
4,4,0.4,0.1,0.1,0.9085085091014762,0.18176143727393845,-1.5772256396236057,-3.3141764927316735,-0.04711391291767063,0.18993581895586342,6639,-0.0005949704602605646 + 0.0im,0.08955412895382499 + 0.0im,0.75,0.01913968743233736
4,4,0.5,0.1,0.1,0.8973629932657997,0.2389343359445495,0.5390251276509664,0.7087203355998245,-0.048779866092539495,0.19412655394179446,9541,-0.0004223855105976291 + 0.0im,0.07867135962006662 + 0.0im,0.5,0.006611127940321581
4,4,0.6,0.1,0.1,0.9446556828761601,0.2631469672725044,-0.04773508014941566,-0.3387019129599709,-0.032186467653338685,0.1416760295450608,1505,-0.0043939566889895955 + 0.0im,0.029734684236368755 + 0.0im,1.0,0.02085354239679675
4,4,0.7,0.1,0.1,0.8611279767360006,0.33402135953589784,-0.10024472424679987,-0.5736699085461887,-0.049666175200184855,0.2040001341984028,1238,-0.006111801095202818 + 0.0im,0.022062122851441195 + 0.0im,1.0,0.014558696904357786
4,4,0.7999999999999999,0.1,0.1,0.8493595216702841,0.38069922004459933,-0.12355321895588454,-0.05273725502271298,-0.07404048383658929,0.18389445370985413,2924,-0.00015624231406222923 + 0.0im,0.34062870334058565 + 0.0im,1.0,0.014337495270025662
4,4,0.8999999999999999,0.1,0.1,0.8654826325224796,0.4167221868970655,0.21662379677656873,-1.2005773653247354,-0.06573119030911379,0.2416352372642423,698,-0.012309712985094801 + 0.0im,0.15622408705218657 + 0.0im,1.0,0.02383665187359029
4,4,0.0,0.1,0.1,0.8977233092856945,0.0,0.03492755350227516,-0.001170191733332171,-0.05071764294375337,0.1999999999999995,2922,-0.0013836868904561583 + 0.0im,0.01616026576011581 + 0.0im,1.0,3.400058012914555e-16
4,4,0.1,0.1,0.1,0.8041118543925794,0.04654804945730134,0.001974291876602876,-0.028628847855060417,-0.05085894889187985,0.2003925930413501,4341,-0.0011092401861660843 + 0.0im,0.08957402841225376 + 0.0im,1.0,0.0012146977596460098
4,4,0.2,0.1,0.1,0.9223966801450995,0.08720011643228963,-0.2522206447105181,-0.552296981399053,-0.0465488683056553,0.18469415207003947,1437,-0.0042793446915088545 + 0.0im,0.14767855448332673 + 0.0im,1.0,0.018629019392760623
4,4,0.30000000000000004,0.1,0.1,0.9369963686627802,0.150978544361392,-0.16024817244470835,-0.27667368466006903,-0.050487201621557835,0.20053101844342097,9941,-0.00037893054316810265 + 0.0im,0.004397032920215971 + 0.0im,1.0,0.0020258520939863004
4,4,0.4,0.1,0.1,0.7351731382657885,0.16234738610716484,0.06634527536990772,-6.514646508745323e-5,-0.05081867943237302,0.19914841440117464,1217,-0.004268886509052159 + 0.0im,0.05094644739069525 + 0.0im,1.0,0.00513624509848169
4,4,0.5,0.1,0.1,0.8010801589665095,0.22630955540913797,-0.0017180063075085542,-0.11459910970398854,-0.04675771544768346,0.18632124878811362,1926,-0.0034946003909563585 + 0.0im,3.812291605586803e-5 + 0.0im,1.0,0.006009037004092292
4,4,0.6,0.1,0.1,0.7397096693939184,0.2470844415492059,0.35470669980199054,0.49728898035940433,-0.05151398937451862,0.20779332951548185,5827,-0.0002707220795389398 + 0.0im,0.00901470613695565 + 0.0im,1.0,1.1183574956666582e-16
4,4,0.7,0.1,0.1,0.7492837960751721,0.3349274841688898,0.0475650625422746,-0.0433804797166314,-0.05028176909479966,0.20481953140646714,2016,-0.0035758823244231137 + 0.0im,0.10249290617458526 + 0.0im,1.0,0.004638641088188704
4,4,0.7999999999999999,0.1,0.1,0.8359767460735122,0.3680352945346658,0.012137432898415339,-0.08590460075849604,-0.04397851323140236,0.17207303531493384,4204,-0.0013236346414790157 + 0.0im,0.05492050536282873 + 0.0im,1.0,0.0023076417316264474
4,4,0.8999999999999999,0.1,0.1,0.9042516960047806,0.45942784623841726,-7.5050563127398435,-20.935222567867473,-0.02992529984638453,0.11410137810049044,9905,-0.0004611094882281936 + 0.0im,0.04417945699994707 + 0.0im,1.0,0.0007234455556056909
4,4,0.0,0.1,0.15,0.5713980530720058,0.0,0.19089072295119944,-0.3399509312746837,-0.051135722479086515,0.181278251755428,368,-0.021019407665098105 + 0.0im,0.05016063614857615 + 0.0im,1.0,0.06564713214680956
4,4,0.1,0.1,0.15,0.35229404272537146,0.03769710816422102,0.009627918297298931,-0.018180098050227505,-0.06472299313751574,0.19569874905857138,4648,-0.0010824481780259399 + 0.0im,0.10206025205243459 + 0.0im,1.0,0.0014134560033121437
4,4,0.2,0.1,0.15,0.5328338209506829,0.07252557006979345,0.012579627866909372,-0.019939355343966216,-0.052104383892530144,0.1981727725814742,2828,-0.0031207047596152424 + 0.0im,0.08284249277527192 + 0.0im,1.0,0.003737875917659584
4,4,0.30000000000000004,0.1,0.15,0.34846122888163134,0.09066898802430512,0.06598861757627593,0.04232211085752939,-0.055043099179398335,0.2143241692933946,2087,-0.000943834985661607 + 0.0im,0.001139455100162435 + 0.0im,1.0,3.535581117190242e-17
4,4,0.4,0.1,0.15,0.49527715611946893,0.09794485810792591,0.05352922270025299,-0.6999823148098553,-0.04852906946937818,0.16890576295388104,508,-0.010745459007120945 + 0.0im,0.0015947449519810091 + 0.0im,1.0,0.06983844571099627
4,4,0.5,0.1,0.15,0.5235855680209529,0.16938248589192964,0.17524954361319342,-0.08095096675783703,-0.05015594639825585,0.1807017796663109,567,-0.012668985986124096 + 0.0im,0.023730928084198116 + 0.0im,1.0,0.017541513021989388
4,4,0.6,0.1,0.15,0.3605324802188732,0.2421925698689376,0.28958480177968626,0.05016803880288828,-0.05812146091775956,0.2358775302775047,600,-0.00859900120935835 + 0.0im,0.08734531737938449 + 0.0im,1.0,1.0900067371313822e-16
4,4,0.7,0.1,0.15,0.6619257133737568,0.2941009613636723,0.1301977219050276,-0.14852911121481818,-0.045677052988910345,0.17939661456835754,799,-0.008319171950937771 + 0.0im,0.03997727928220885 + 0.0im,1.0,0.012516675855215622
4,4,0.7999999999999999,0.1,0.15,0.4387355095481703,0.28887263279569547,-0.1966452588403813,-0.6487125863433607,-0.028707986972546777,0.10268173558575798,1658,-0.006038723174518684 + 0.0im,0.02284833452417122 + 0.0im,1.0,0.012624724445397466
4,4,0.8999999999999999,0.1,0.15,0.5675682907222448,0.2758743847376604,-8.824478868834985,-20.545214641283163,0.11492003520876809,-0.2591452530536306,279,-0.035241033743769454 + 0.0im,0.4180610209751362 + 0.0im,1.0,0.07780317403749581
4,4,0.0,0.1,0.15,0.8528437766204258,0.0,-0.20435327072961643,-0.6561851012218046,-0.04859454469787011,0.18556901464432712,1006,-0.008778653495851434 + 0.0im,0.07665469014197866 + 0.0im,1.0,0.02966010305636939
4,4,0.1,0.1,0.15,0.6332047862051169,0.04533149590358103,0.022125283831866224,-0.07451223970036373,-0.04982628197974742,0.1950505815446617,1673,-0.0029886072878094992 + 0.0im,-0.0029886072878122505 + 0.0im,1.0,0.0032130208644113156
4,4,0.2,0.1,0.15,0.7542789289283195,0.07970245188626705,-0.00726299998465563,-0.12047745165750698,-0.051325931162799994,0.20272912268244236,1861,-0.004980414324543244 + 0.0im,-0.0018462440541567855 + 0.0im,1.0,0.006318550254660848
4,4,0.30000000000000004,0.1,0.15,0.7704727838049114,0.09421437073944194,-1.6774299500330359,-2.9640622327991446,-0.03856094391414713,0.13848513534476492,1541,-0.0001385243172445181 + 0.0im,-0.00020052744088300484 + 0.0im,0.5,0.09483837258417614
4,4,0.4,0.1,0.15,0.5550511766544365,0.14121636871850946,-0.04935941449834359,-0.15941847290580696,-0.057494172114854795,0.20344348089656586,2770,-0.003014560604038844 + 0.0im,0.04988602108041323 + 0.0im,1.0,0.004518269262268611
4,4,0.5,0.1,0.15,0.9102906599714153,0.22940025451271884,-1.1400611519045092,-2.775004497268811,-0.037217991893686186,0.1483874944799895,889,-0.009377653617330617 + 0.0im,0.1578033042991197 + 0.0im,1.0,0.06347825910943987
4,4,0.6,0.1,0.15,0.7163995030196344,0.2698011685613555,0.12070633826758348,0.0386654460080273,-0.04699385958584642,0.18752053540647579,1171,-0.004654421980713397 + 0.0im,0.053466483491843506 + 0.0im,1.0,5.598365454876012e-17
4,4,0.7,0.1,0.15,0.8290459601160798,0.3109571977296498,-0.5815264004181566,-1.2874045534989582,-0.029265493715547743,0.15169038821465963,1283,-0.006159952279420071 + 0.0im,0.06954991051408999 + 0.0im,0.75,0.05490922848238532
4,4,0.7999999999999999,0.1,0.15,0.892738271327756,0.3819004157105384,-0.05424935162249362,0.052760586085214944,-0.047038553763932574,0.18915377906257919,4224,-0.0007139673277203338 + 0.0im,0.15310006875406623 + 0.0im,0.75,0.007850964367909526
4,4,0.8999999999999999,0.1,0.15,0.8100323230852905,0.35503819942746406,0.6981770059068892,1.130979315277895,-0.055955698841037904,0.2496970066942238,2240,-0.0003540079747501845 + 0.0im,0.05362024660471399 + 0.0im,1.0,0.0042379121866763505
4,4,0.0,0.1,0.15,0.8129393978398185,0.0,-0.0019267504442492395,-0.011165702034225714,-0.05169263395714035,0.19965633824896695,8392,-0.0006873235020660873 + 0.0im,0.15527808468248333 + 0.0im,1.0,0.0007071509574201856
4,4,0.1,0.1,0.15,0.7921313431032476,0.04273253573532161,-0.00530199573122031,-0.044352934961934806,-0.04994489008653072,0.1993693152736472,4304,-0.0015386782707022231 + 0.0im,0.04639270922039842 + 0.0im,1.0,0.0018412182217731304
4,4,0.2,0.1,0.15,0.8680798107069572,0.09333731131021115,-0.03995980335653815,-0.07475397714372485,-0.050639651951787046,0.19850629512589002,5430,-0.0008124883926231521 + 0.0im,0.009874404780772466 + 0.0im,1.0,0.0008761130752330616
4,4,0.30000000000000004,0.1,0.15,0.7720912753117415,0.13760421149136898,0.09055157711882593,0.07905836370512606,-0.050192146464346096,0.199188929914376,3736,-0.0005992468259776055 + 0.0im,0.05636555064867484 + 0.0im,1.0,2.9966649543321546e-17
4,4,0.4,0.1,0.15,0.9588298597701965,0.19115845806128284,-0.17221921585795963,-0.10935171004151073,-0.04884445292575687,0.19548757187516047,6965,-0.00012058573733960608 + 0.0im,0.12043479407788688 + 0.0im,1.0,0.0022280185498687924
4,4,0.5,0.1,0.15,0.896496421318165,0.23504873971080995,0.06368616123469954,0.04687142936422782,-0.05280185372948349,0.21169216633279886,11845,-0.00015185275662355361 + 0.0im,-0.00015185438226100745 + 0.0im,1.0,0.00021887136578350642
