N,M,Leakage,Noise_m,Noise_std,NO,CO,SMAPE,Eq_SMAPE,I_m,R_m,eq_t,domEig,domEigLV,C_sur,trc_max
5,5,0.0,0.1,0.1,0.6842796033213322,0.0,-2.5060093328983437,-3.4683666558818027,-0.040207261676138584,0.16660296116900647,3720,-0.001405161434922402 + 0.0im,0.06171374943372255 + 0.0im,0.6000000000000001,0.1454506146217405
5,5,0.1,0.1,0.1,0.42947440067427595,0.028640409924092156,0.30349956219707697,-0.19124421271033717,-0.04078671700618699,0.19271579783829113,364,-0.009066313360405245 + 0.0im,0.03891905454164959 + 0.0im,1.0,0.028757006322930528
5,5,0.2,0.1,0.1,0.6042057556501685,0.043032416158700924,-1.9247020953089686,-2.865622831527449,-0.03659302029334578,0.1599671431599529,3303,-0.0001257966219321679 + 0.0im,0.011376128882073282 + 0.0im,0.6000000000000001,0.07335836764994864
5,5,0.30000000000000004,0.1,0.1,0.6246727746535963,0.09768973344981641,-0.2944258409107305,-0.9151997298830536,-0.03537660655149944,0.16569864939575965,893,-0.005654207967760384 + 0.0im,0.05927218573667384 + 0.0im,1.0,0.044999486994066876
5,5,0.4,0.1,0.1,0.554659673238482,0.12529348780327296,-0.04013448390188023,-0.8995315560407567,-0.03425181882408188,0.16386952620180356,465,-0.01739405580224236 + 0.0im,0.06418240491716376 + 0.0im,1.0,0.10661837592614938
5,5,0.5,0.1,0.1,0.3444744214972388,0.12704402468417758,0.1625303179780917,-0.1072209429076303,-0.03544211548163617,0.18053918117950646,572,-0.012223495752925632 + 0.0im,0.029329192038244512 + 0.0im,1.0,0.01671102861927949
5,5,0.6,0.1,0.1,0.487039045593135,0.1882257847210211,0.10096730383978586,-0.06504304523104887,-0.03577818865146912,0.18137197400852897,1092,-0.006239730234643149 + 0.0im,0.05800106544115032 + 0.0im,1.0,0.008564061982344204
5,5,0.7,0.1,0.1,0.40560354503060536,0.24416791244985095,0.26673499990940125,0.292649458526569,-0.032656349372151006,0.15801603740774084,1070,-0.002282716085224681 + 0.0im,0.10408893120710973 + 0.0im,1.0,0.0033809445941603835
5,5,0.7999999999999999,0.1,0.1,0.5260987064473708,0.23805848545042263,0.27725838284396914,-0.4669885640484335,-0.008232343531867786,0.06970008392659673,424,-0.011685516166560213 + 0.0im,0.006238214696551411 + 0.0im,1.0,0.05887075486005887
5,5,0.8999999999999999,0.1,0.1,0.4501745976410368,0.23770440183413172,0.7265951086291247,-1.9235292542750244,2.572922328985372e-5,0.0742102330050352,505,-0.014573459804844915 + 0.0im,0.008305606139103309 + 0.0im,1.0,0.03352603998454216
