N,M,Leakage,Noise_m,Noise_std,NO,CO,SMAPE,Eq_SMAPE,I_m,R_m,eq_t,domEig,domEigLV,C_sur,trc_max
8,8,0.0,0.1,0.1,0.49554983042329026,0.0,-0.11748268779507962,-0.8165288585520525,-0.024645553936689928,0.18073540193609072,640,-0.009728540295452795 + 0.0im,0.036393898541833586 + 0.0im,1.0,0.21571760923156386
8,8,0.1,0.1,0.1,0.462500209357303,0.025027783335201333,-0.035647561218825966,0.029869689435681124,-0.02535203364430365,0.19765244870637239,6962,-0.0011508579676026618 + 0.0im,0.017550608744093425 + 0.0im,0.875,0.01021379876664205
8,8,0.2,0.1,0.1,0.45422351334122024,0.04062530780141294,-0.07910974256627044,-0.5833015094883057,-0.023253244469592812,0.1722162363050806,651,-0.013021259408040962 + 0.0im,-0.007311830084955219 + 0.0im,1.0,0.0639498543866523
8,8,0.30000000000000004,0.1,0.1,0.375842881814552,0.06712856268258983,0.046965788448209096,0.054800239749646436,-0.02693092111713846,0.19161642434742593,1728,-0.0014828328377491902 + 0.0im,0.09287964989989965 + 0.0im,1.0,0.00877666201258846
8,8,0.4,0.1,0.1,0.49254491674841805,0.09262251647605835,-0.33555794111041254,1.614968082929226,-0.02272943426933966,0.1794658518166396,2383,-0.0015037873114834553 + 0.0im,0.03050488061454257 + 0.0im,0.625,0.06068007381081322
8,8,0.5,0.1,0.1,0.5345635919624406,0.10789180408343399,-0.5516920974036787,-1.2578848350955223,-0.006142697963914112,0.08350788955324197,703,-0.00855771544845336 + 0.0im,0.021233661171907545 + 0.0im,1.0,0.2550582778611387
8,8,0.6,0.1,0.1,0.3972810169707601,0.13640308278141938,-0.08828754817567425,-0.13646137850743606,-0.016447387210999996,0.12862729957316624,1986,-0.00346540686553206 + 0.0im,0.07170499793769886 + 0.0im,0.875,0.02476237912537226
8,8,0.7,0.1,0.1,0.47181527138976154,0.16782048735472707,-0.20908812452639527,0.900480904754321,-0.017631505368199785,0.14469638717253083,2043,-0.0031268628300156432 + 0.0im,0.05609108936957739 + 0.0im,0.875,0.0488794311633197
8,8,0.7999999999999999,0.1,0.1,0.3869437924033143,0.18285770126071563,-0.47248338726885647,-2.0223340170506887,-0.01630617678545852,0.14362691343750372,2504,-0.001927594658937539 + 0.0im,0.05666329548538239 + 0.0im,0.75,0.05091125564066401
8,8,0.8999999999999999,0.1,0.1,0.3897700902561362,0.2036278872582656,-15.025148209031542,-22.21565019121467,0.03412850206458586,-0.22425606617654947,507,-0.01260543293499138 + 0.0im,0.2697459778533821 + 0.0im,1.0,0.11163421663816167
8,8,0.0,0.1,0.1,0.7424726224370214,0.0,-1.2120433630224197,-1.1030796114606227,-0.025308276261023995,0.19953710709781994,58203,-2.9808997432175668e-5 + 0.0im,0.08914541521014693 + 0.0im,0.875,0.00228352261624618
8,8,0.1,0.1,0.1,0.7830063731529813,0.028888303282834555,-0.07652014995866484,-0.16653332520335432,-0.025588933043794972,0.19440775365064833,1876,-0.0031137436135899904 + 0.0im,0.11447620388236038 + 0.0im,1.0,0.006884568670420295
8,8,0.2,0.1,0.1,0.7521215291278491,0.06026758822655158,0.09632353781574356,0.1362765333708071,-0.0253132744662565,0.19885954643160475,7021,-2.792441878535718e-5 + 0.0im,0.06370962576192546 + 0.0im,1.0,0.001806232765345996
8,8,0.30000000000000004,0.1,0.1,0.7406996807003736,0.09455583111976801,0.07961868030669249,0.14306360514126834,-0.02486288175445175,0.19676969373648745,6166,-0.0006980785128495078 + 0.0im,0.06182994617123717 + 0.0im,1.0,0.0013211715358099972
8,8,0.4,0.1,0.1,0.7412760089889602,0.12742379894517492,-0.10515670998991689,-0.18694709962854697,-0.025733911726806554,0.20210704078537134,5654,-0.00010977842670317477 + 0.0im,0.10053824963844178 + 0.0im,1.0,0.003916300217734284
8,8,0.5,0.1,0.1,0.7380165226306312,0.1501154823433147,-2.0026488884713003,-3.3653644094528836,-0.02217116361981347,0.18287224028739543,9262,-0.00010396666850800568 + 0.0im,0.07497243112567381 + 0.0im,0.625,0.03324688656160746
8,8,0.6,0.1,0.1,0.763185602290568,0.1790684720428288,0.39164489950689196,0.5948656839290206,-0.02577780585733806,0.20406295006382213,12870,-4.9938885074623836e-5 + 0.0im,0.12926158557261472 + 0.0im,0.625,0.008095322991805227
8,8,0.7,0.1,0.1,0.7200506221226267,0.21423841650101863,0.051019320286182106,-0.09551913747709159,-0.0259495962175422,0.2045009725857471,8620,-0.0005457799056039332 + 0.0im,0.06746603543519994 + 0.0im,1.0,0.0013116601757731392
8,8,0.7999999999999999,0.1,0.1,0.7469226340057233,0.2427189409659269,-0.15525334716974773,-0.06518616418761469,-0.024992609141423525,0.1955677260079455,8888,-0.0003243910216849581 + 0.0im,0.08991302309179049 + 0.0im,0.875,0.005208692384861098
8,8,0.8999999999999999,0.1,0.1,0.7368622161104522,0.2680065029833286,-1.12110436082678,-1.1382204271880094,-0.036069626733300685,0.29560793465557694,6519,-0.0005267971251497975 + 0.0im,0.05252735260284423 + 0.0im,0.75,0.015632551402072446
8,8,0.0,0.1,0.1,0.8089010617802741,0.0,-0.008444570839464219,-0.013966986870863623,-0.02525244341241116,0.19971529578756902,20360,-0.00017378065771504628 + 0.0im,0.030673849115525505 + 0.0im,0.875,0.0008334268816275579
8,8,0.1,0.1,0.1,0.7618114443382299,0.03207527327031834,0.08806092901887017,0.47271598545449567,-0.024964259585121235,0.19881853862136364,14626,-9.78458294762375e-5 + 0.0im,0.07327103087513613 + 0.0im,0.875,0.004435745144572817
8,8,0.2,0.1,0.1,0.8133544273966286,0.06402712116082565,-0.025474795250257636,0.033285048207308744,-0.025616395393018146,0.2019857855928898,33689,-0.00016506181299120868 + 0.0im,0.026275399173356046 + 0.0im,1.0,0.00020639137343356743
8,8,0.30000000000000004,0.1,0.1,0.8339006546884038,0.09473404857025426,0.03739565737701855,-0.8674447826976224,-0.024886910039832913,0.19537724042330987,12757,-2.55266546733367e-5 + 0.0im,0.09780543668787864 + 0.0im,0.625,0.009107318679733044
8,8,0.4,0.1,0.1,0.8243011177644746,0.12744730179783334,-0.13314172043688555,-0.21029066766815097,-0.02509467324287725,0.1965403859075892,9229,-2.0957643853885774e-5 + 0.0im,0.14084667732784364 + 0.0im,0.75,0.004075341403400765
8,8,0.5,0.1,0.1,0.8177861223945181,0.16229078425878748,-0.16639533085197203,0.15920019465351215,-0.025035666141333235,0.19914276342585996,8935,-4.6514815468938146e-5 + 0.0im,0.13587703602735382 + 0.0im,0.875,0.00947469022747478
8,8,0.6,0.1,0.1,0.7989991253317105,0.18706541032100138,0.03917665199244333,-0.005431865680076304,-0.025980562559565018,0.20800068749693829,8800,-0.0003698609423881954 + 0.0im,0.08557571463821043 + 0.0im,1.0,0.001330516639959567
8,8,0.7,0.1,0.1,0.8585648763545493,0.23139061386530568,-0.04487274930648689,-0.1419438505187317,-0.02405591774433402,0.19320108917345466,7738,-0.0005605438158855188 + 0.0im,0.10330286043446812 + 0.0im,1.0,0.0021251495362268717
8,8,0.7999999999999999,0.1,0.1,0.7881324643509757,0.2502642150155466,-0.3434344704321116,-0.4009832174369084,-0.02610856605791448,0.2081490765200739,9820,-0.00012368698721108295 + 0.0im,0.1913353333775725 + 0.0im,0.625,0.012019603064449672
8,8,0.8999999999999999,0.1,0.1,0.7902068075488458,0.27868977461728656,-5.325098642468033,-9.750556890979952,-0.017835607197488175,0.07588710519843439,3117,-0.0018978102879086607 + 0.0im,0.02693974315360484 + 0.016054407209450294im,0.875,0.015346128539662095
8,8,0.0,0.1,0.1,0.804381719726526,0.0,-0.01992852494212425,-0.03515183624922572,-0.02532393805381772,0.199751968567285,11812,-0.00012948931473555364 + 0.0im,0.0722125578866853 + 0.0im,1.0,0.0011387636943148106
8,8,0.1,0.1,0.1,0.8557003076625033,0.03275046622632627,0.001659490068071752,-0.01419665732562672,-0.02530779440052381,0.20023008681902027,15802,-2.741587823605858e-5 + 0.0im,0.06335063498547475 + 0.0im,1.0,0.0003843065390959187
8,8,0.2,0.1,0.1,0.7740200841924442,0.06119683247995375,-0.14984840987754078,-0.2187660350276061,-0.025933087788925842,0.2010711980651289,12001,-0.00016651007426860776 + 0.0im,0.19038238358201492 + 0.0im,1.0,0.0012607181321226736
8,8,0.30000000000000004,0.1,0.1,0.8295293886483397,0.09842817069726878,-0.02527850424482699,0.044251943448695874,-0.02480222096931814,0.19615632400390315,4428,-0.000840668788843029 + 0.0im,0.12358649719949708 + 0.0im,0.875,0.00866919065337026
8,8,0.4,0.1,0.1,0.8232315279778277,0.12865243823853972,-0.08440945043978572,-0.08545623324916185,-0.02322530688748381,0.18499218512669174,4773,-0.0002746516124714415 + 0.0im,0.07763807054307006 + 0.0im,0.75,0.007612076849049376
8,8,0.5,0.1,0.1,0.8387464053470643,0.1615587474688519,0.004112050179857247,0.12712520339199823,-0.02433440891978028,0.19432080003567176,7812,-0.0002984495537236675 + 0.0im,0.05739121497128378 + 0.0im,0.875,0.004777284405933205
8,8,0.6,0.1,0.1,0.7805730648582792,0.18691389882854492,-0.2165961025850002,-0.15654570781496643,-0.025566458784157184,0.20448560801432375,6446,-0.0002718697000682847 + 0.0im,0.18682267650520148 + 0.0im,0.75,0.006247169193916408
8,8,0.7,0.1,0.1,0.8134753723609219,0.22402532974129885,0.05487477311079845,-0.15948933495892206,-0.028467834830872136,0.22509873832878513,9394,-0.0005058086363856696 + 0.0im,0.13638572755870718 + 0.0im,0.875,0.003845843220717363
